Full#,Short#,facet,label_raw,text,label_ocean,instrument,key
1,1,N1,Anxiety,Worry about things,N,NEO-300,1
2,2,E1,Friendliness,Make friends easily,E,NEO-300,1
3,3,O1,Imagination,Have a vivid imagination,O,NEO-300,1
4,4,A1,Trust,Trust others,A,NEO-300,1
5,5,C1,Self-Efficacy,Complete tasks successfully,C,NEO-300,1
6,6,N2,Anger,Get angry easily,N,NEO-300,1
7,7,E2,Gregariousness,Love large parties,E,NEO-300,1
8,8,O2,Artistic Interests,Believe in the importance of art,O,NEO-300,1
99,9,A2,Morality,Use others for your own ends,A,NEO-300,-1
40,10,C2,Orderliness,Like to tidy up,C,NEO-300,1
11,11,N3,Depression,Often feel blue,N,NEO-300,1
12,12,E3,Assertiveness,Take charge,E,NEO-300,1
13,13,O3,Emotionality,Experience your emotions intensely,O,NEO-300,1
74,14,A3,Altruism,Love to help others,A,NEO-300,1
45,15,C3,Dutifulness,Keep your promises,C,NEO-300,1
76,16,N4,Self-Consciousness,Find it difficult to approach others,N,NEO-300,1
17,17,E4,Activity Level,Are always busy,E,NEO-300,1
18,18,O4,Adventurousness,Prefer variety to routine,O,NEO-300,1
169,19,A4,Cooperation,Love a good fight,A,NEO-300,-1
50,20,C4,Achievement-Striving,Work hard,C,NEO-300,1
111,21,N5,Immoderation,Go on binges,N,NEO-300,1
22,22,E5,Excitement-Seeking,Love excitement,E,NEO-300,1
53,23,O5,Intellect,Love to read challenging material,O,NEO-300,1
144,24,A5,Modesty,Believe that you are better than others,A,NEO-300,-1
55,25,C5,Self-Discipline,Are always prepared,C,NEO-300,1
26,26,N6,Vulnerability,Panic easily,N,NEO-300,1
27,27,E6,Cheerfulness,Radiate joy,E,NEO-300,1
28,28,O6,Liberalism,Tend to vote for liberal political candidates,O,NEO-300,1
29,29,A6,Sympathy,Sympathize with the homeless,A,NEO-300,1
120,30,C6,Cautiousness,Jump into things without thinking,C,NEO-300,-1
31,31,N1,Anxiety,Fear for the worst,N,NEO-300,1
62,32,E1,Friendliness,Feel comfortable around people,E,NEO-300,1
33,33,O1,Imagination,Enjoy wild flights of fantasy,O,NEO-300,1
34,34,A1,Trust,Believe that others have good intentions,A,NEO-300,1
35,35,C1,Self-Efficacy,Excel in what you do,C,NEO-300,1
36,36,N2,Anger,Get irritated easily,N,NEO-300,1
37,37,E2,Gregariousness,Talk to a lot of different people at parties,E,NEO-300,1
68,38,O2,Artistic Interests,See beauty in things that others might not notice,O,NEO-300,1
159,39,A2,Morality,Cheat to get ahead,A,NEO-300,-1
160,40,C2,Orderliness,Often forget to put things back in their proper place,C,NEO-300,-1
41,41,N3,Depression,Dislike yourself,N,NEO-300,1
42,42,E3,Assertiveness,Try to lead others,E,NEO-300,1
43,43,O3,Emotionality,Feel others' emotions,O,NEO-300,1
104,44,A3,Altruism,Are concerned about others,A,NEO-300,1
105,45,C3,Dutifulness,Tell the truth,C,NEO-300,1
106,46,N4,Self-Consciousness,Are afraid to draw attention to yourself,N,NEO-300,1
47,47,E4,Activity Level,Are always on the go,E,NEO-300,1
138,48,O4,Adventurousness,Prefer to stick with things that you know,O,NEO-300,-1
199,49,A4,Cooperation,Yell at people,A,NEO-300,-1
140,50,C4,Achievement-Striving,Do more than what's expected of you,C,NEO-300,1
171,51,N5,Immoderation,Rarely overindulge,N,NEO-300,-1
52,52,E5,Excitement-Seeking,Seek adventure,E,NEO-300,1
203,53,O5,Intellect,Avoid philosophical discussions,O,NEO-300,-1
174,54,A5,Modesty,Think highly of yourself,A,NEO-300,-1
145,55,C5,Self-Discipline,Carry out your plans,C,NEO-300,1
56,56,N6,Vulnerability,Become overwhelmed by events,N,NEO-300,1
57,57,E6,Cheerfulness,Have a lot of fun,E,NEO-300,1
58,58,O6,Liberalism,Believe that there is no absolute right or wrong,O,NEO-300,1
59,59,A6,Sympathy,Feel sympathy for those who are worse off than yourself,A,NEO-300,1
150,60,C6,Cautiousness,Make rash decisions,C,NEO-300,-1
61,61,N1,Anxiety,Are afraid of many things,N,NEO-300,1
212,62,E1,Friendliness,Avoid contacts with others,E,NEO-300,-1
63,63,O1,Imagination,Love to daydream,O,NEO-300,1
64,64,A1,Trust,Trust what people say,A,NEO-300,1
65,65,C1,Self-Efficacy,Handle tasks smoothly,C,NEO-300,1
126,66,N2,Anger,Lose your temper,N,NEO-300,1
157,67,E2,Gregariousness,Prefer to be alone,E,NEO-300,-1
188,68,O2,Artistic Interests,Do not like poetry,O,NEO-300,-1
249,69,A2,Morality,Take advantage of others,A,NEO-300,-1
190,70,C2,Orderliness,Leave a mess in your room,C,NEO-300,-1
71,71,N3,Depression,Are often down in the dumps,N,NEO-300,1
132,72,E3,Assertiveness,Take control of things,E,NEO-300,1
223,73,O3,Emotionality,Rarely notice your emotional reactions,O,NEO-300,-1
194,74,A3,Altruism,Are indifferent to the feelings of others,A,NEO-300,-1
165,75,C3,Dutifulness,Break rules,C,NEO-300,-1
136,76,N4,Self-Consciousness,Only feel comfortable with friends,N,NEO-300,1
77,77,E4,Activity Level,Do a lot in your spare time,E,NEO-300,1
168,78,O4,Adventurousness,Dislike changes,O,NEO-300,-1
229,79,A4,Cooperation,Insult people,A,NEO-300,-1
260,80,C4,Achievement-Striving,Do just enough work to get by,C,NEO-300,-1
201,81,N5,Immoderation,Easily resist temptations,N,NEO-300,-1
142,82,E5,Excitement-Seeking,Enjoy being reckless,E,NEO-300,1
233,83,O5,Intellect,Have difficulty understanding abstract ideas,O,NEO-300,-1
204,84,A5,Modesty,Have a high opinion of yourself,A,NEO-300,-1
205,85,C5,Self-Discipline,Waste your time,C,NEO-300,-1
86,86,N6,Vulnerability,Feel that I'm unable to deal with things,N,NEO-300,1
147,87,E6,Cheerfulness,Love life,E,NEO-300,1
148,88,O6,Liberalism,Tend to vote for conservative political candidates,O,NEO-300,-1
149,89,A6,Sympathy,Are not interested in other people's problems,A,NEO-300,-1
210,90,C6,Cautiousness,Rush into things,C,NEO-300,-1
91,91,N1,Anxiety,Get stressed out easily,N,NEO-300,1
272,92,E1,Friendliness,Keep others at a distance,E,NEO-300,-1
93,93,O1,Imagination,Like to get lost in thought,O,NEO-300,1
184,94,A1,Trust,Distrust people,A,NEO-300,-1
155,95,C1,Self-Efficacy,Know how to get things done,C,NEO-300,1
216,96,N2,Anger,Are not easily annoyed,N,NEO-300,-1
247,97,E2,Gregariousness,Avoid crowds,E,NEO-300,-1
218,98,O2,Artistic Interests,Do not enjoy going to art museums,O,NEO-300,-1
279,99,A2,Morality,Obstruct others' plans,A,NEO-300,-1
220,100,C2,Orderliness,Leave your belongings around,C,NEO-300,-1
251,101,N3,Depression,Feel comfortable with yourself,N,NEO-300,-1
162,102,E3,Assertiveness,Wait for others to lead the way,E,NEO-300,-1
283,103,O3,Emotionality,Don't understand people who get emotional,O,NEO-300,-1
284,104,A3,Altruism,Take no time for others,A,NEO-300,-1
195,105,C3,Dutifulness,Break your promises,C,NEO-300,-1
256,106,N4,Self-Consciousness,Are not bothered by difficult social situations,N,NEO-300,-1
167,107,E4,Activity Level,Like to take it easy,E,NEO-300,-1
288,108,O4,Adventurousness,Are attached to conventional ways,O,NEO-300,-1
259,109,A4,Cooperation,Get back at others,A,NEO-300,-1
