M5 #,M5-120 #,Facet,label_raw,text,Score F/R,label_ocean,instrument,key
34,4,A1,Trust,Trust others,F,A,NEO-120,1
164,14,A3,Altruism,Love to help others,F,A,NEO-120,1
59,29,A6,Sympathy,Sympathize with the homeless,F,A,NEO-120,1
124,34,A1,Trust,Believe that others have good intentions,F,A,NEO-120,1
194,44,A3,Altruism,Are concerned about others,F,A,NEO-120,1
5,5,C1,Self-efficacy,Complete tasks successfully,F,C,NEO-120,1
40,10,C2,Orderliness,Like to tidy up,F,C,NEO-120,1
75,15,C3,Dutifulness,Keep your promises,F,C,NEO-120,1
110,20,C4,Achievement-striving,Work hard,F,C,NEO-120,1
85,25,C5,Self-discipline,Are always prepared,F,C,NEO-120,1
32,2,E1,Friendliness,Make friends easily,F,E,NEO-120,1
67,7,E2,Gregariousness,Love large parties,F,E,NEO-120,1
12,12,E3,Assertiveness,Take charge,F,E,NEO-120,1
47,17,E4,Activity Level,Are always busy,F,E,NEO-120,1
22,22,E5,Excitement-seeking,Love excitement,F,E,NEO-120,1
1,1,N1,Anxiety,Worry about things,F,N,NEO-120,1
6,6,N2,Anger,Get angry easily,F,N,NEO-120,1
41,11,N3,Depression,Often feel blue,F,N,NEO-120,1
136,16,N4,Self-consciousness,Find it difficult to approach others,F,N,NEO-120,1
201,21,N5,Immoderation,Go on binges,F,N,NEO-120,1
3,3,O1,Imagination,Have a vivid imagination,F,O,NEO-120,1
8,8,O2,Artistic Interests,Believe in the importance of art,F,O,NEO-120,1
43,13,O3,Emotionality,Experience your emotions intensely,F,O,NEO-120,1
18,18,O4,Adventurousness,Prefer variety to routine,F,O,NEO-120,1
83,23,O5,Intellect,Love to read challenging material,F,O,NEO-120,1
39,9,A2,Morality,Use others for your own ends,R,A,NEO-120,-1
139,19,A4,Cooperation,Love a good fight,R,A,NEO-120,-1
54,24,A5,Modesty,Believe that you are better than others,R,A,NEO-120,-1
159,39,A2,Morality,Cheat to get ahead,R,A,NEO-120,-1
169,49,A4,Cooperation,Yell at people,R,A,NEO-120,-1
90,60,C6,Cautiousness,Make rash decisions,R,C,NEO-120,-1
100,70,C2,Orderliness,Leave a mess in your room,R,C,NEO-120,-1
15,75,C3,Dutifulness,Break rules,R,C,NEO-120,-1
80,80,C4,Achievement-striving,Do just enough work to get by,R,C,NEO-120,-1
115,85,C5,Self-discipline,Waste your time,R,C,NEO-120,-1
92,62,E1,Friendliness,Avoid contacts with others,R,E,NEO-120,-1
7,67,E2,Gregariousness,Prefer to be alone,R,E,NEO-120,-1
272,92,E1,Friendliness,Keep others at a distance,R,E,NEO-120,-1
157,97,E2,Gregariousness,Avoid crowds,R,E,NEO-120,-1
42,102,E3,Assertiveness,Wait for others to lead the way,R,E,NEO-120,-1
21,51,N5,Immoderation,Rarely overindulge,R,N,NEO-120,-1
111,81,N5,Immoderation,Easily resist temptations,R,N,NEO-120,-1
186,96,N2,Anger,Are not easily annoyed,R,N,NEO-120,-1
101,101,N3,Depression,Feel comfortable with yourself,R,N,NEO-120,-1
196,106,N4,Self-consciousness,Are not bothered by difficult social situations,R,N,NEO-120,-1
113,53,O5,Intellect,Avoid philosophical discussions,R,O,NEO-120,-1
98,68,O2,Artistic Interests,Do not like poetry,R,O,NEO-120,-1
163,73,O3,Emotionality,Rarely notice your emotional reactions,R,O,NEO-120,-1
78,78,O4,Adventurousness,Dislike changes,R,O,NEO-120,-1
143,83,O5,Intellect,Have difficulty understanding abstract ideas,R,O,NEO-120,-1
