,instrument,alpha,key,text,label_raw,label_ocean
0,16PF,0.78,1,Act wild and crazy,Gregariousness,E
1,16PF,0.8,1,Are afraid that you will do the wrong thing,Anxiety,N
2,16PF,0.76,1,Are annoyed by others' mistakes,Emotionality,O
3,16PF,0.8,1,Are easily hurt,Anxiety,N
4,16PF,0.76,1,Are easily put out,Emotionality,O
5,16PF,0.81,1,Are exacting in your work,Orderliness,C
6,16PF,0.81,1,Are not afraid of providing criticism,Assertiveness,E
7,16PF,0.81,-1,Are not bothered by disorder,Orderliness,C
8,16PF,0.81,-1,Are not bothered by messy people,Orderliness,C
9,16PF,0.76,-1,Are not easily annoyed,Emotionality,O
10,16PF,0.8,-1,Are not easily bothered by things,Anxiety,N
11,16PF,0.76,1,Are quick to judge others,Emotionality,O
12,16PF,0.8,-1,Are quiet around strangers,Friendliness,E
13,16PF,0.78,-1,Are the last to laugh at a joke,Gregariousness,E
14,16PF,0.78,1,Are the life of the party,Gregariousness,E
15,16PF,0.78,1,Areuse your friends,Gregariousness,E
16,16PF,0.84,1,Believe in one true religion,Dutifulness,C
17,16PF,0.84,1,Believe laws should be strictly enforced,Dutifulness,C
18,16PF,0.84,-1,Break rules,Dutifulness,C
19,16PF,0.81,1,Can take strong measures,Assertiveness,E
20,16PF,0.76,1,Can't stand being contradicted,Emotionality,O
21,16PF,0.76,-1,Consider yourself an average person,Intellect,O
22,16PF,0.81,1,Continue until everything is perfect,Orderliness,C
23,16PF,0.76,1,Counter others' arguments,Intellect,O
24,16PF,0.78,-1,Dislike loud music,Gregariousness,E
25,16PF,0.8,-1,Do things by the book,Imagination,O
26,16PF,0.8,1,Do things that others find strange,Imagination,O
27,16PF,0.8,1,Do unexpected things,Imagination,O
28,16PF,0.8,-1,Don't let others discourage me,Anxiety,N
29,16PF,0.78,-1,Don't like crowded events,Gregariousness,E
30,16PF,0.8,1,Don't mind being the center of attention,Friendliness,E
31,16PF,0.8,-1,Don't worry about things that have already happened,Anxiety,N
32,16PF,0.78,1,Enjoy being part of a loud crowd,Gregariousness,E
33,16PF,0.8,1,Enjoy wild flights of fantasy,Imagination,O
34,16PF,0.8,1,Feel comfortable around people,Friendliness,E
35,16PF,0.8,1,Feel crushed by setbacks,Anxiety,N
36,16PF,0.8,1,"Feel guilty when you say ""no.""",Anxiety,N
37,16PF,0.8,1,Feel threatened easily,Anxiety,N
38,16PF,0.8,-1,Find it difficult to approach others,Friendliness,E
39,16PF,0.76,1,Get angry easily,Emotionality,O
40,16PF,0.81,1,Get chores done right away,Orderliness,C
41,16PF,0.76,-1,Get confused easily,Intellect,O
42,16PF,0.76,1,Get irritated easily,Emotionality,O
43,16PF,0.76,-1,Have a good word for everyone,Emotionality,O
44,16PF,0.76,-1,Have a poor vocabulary,Intellect,O
45,16PF,0.8,-1,Have little to say,Friendliness,E
46,16PF,0.78,1,Joke around a lot,Gregariousness,E
47,16PF,0.76,1,Judge people by their appearance,Emotionality,O
48,16PF,0.8,-1,Keep in the background,Friendliness,E
49,16PF,0.84,-1,Know how to get around the rules,Dutifulness,C
50,16PF,0.76,-1,Know that you are not a special person,Intellect,O
51,16PF,0.76,1,Know the answers to many questions,Intellect,O
52,16PF,0.76,1,Learn quickly,Intellect,O
53,16PF,0.81,-1,Leave a mess in your room,Orderliness,C
54,16PF,0.81,-1,Leave your belongings around,Orderliness,C
55,16PF,0.81,-1,Let yourself be pushed around,Assertiveness,E
56,16PF,0.81,-1,Let others make the decisions,Assertiveness,E
57,16PF,0.81,1,Like order,Orderliness,C
58,16PF,0.8,1,Like to get lost in thought,Imagination,O
59,16PF,0.84,1,Like to stand during the national anthem,Dutifulness,C
60,16PF,0.78,1,Love large parties,Gregariousness,E
61,16PF,0.8,1,Love to daydream,Imagination,O
62,16PF,0.8,1,Make friends easily,Friendliness,E
63,16PF,0.76,1,Make insightful remarks,Intellect,O
64,16PF,0.81,-1,Never challenge things,Assertiveness,E
65,16PF,0.8,-1,Often feel uncomfortable around others,Friendliness,E
66,16PF,0.84,-1,Oppose authority,Dutifulness,C
67,16PF,0.81,-1,Put off unpleasant tasks,Orderliness,C
68,16PF,0.76,1,Reflect on things before acting,Intellect,O
69,16PF,0.84,-1,Resist authority,Dutifulness,C
70,16PF,0.84,1,Respect authority,Dutifulness,C
71,16PF,0.81,1,Say what you think,Assertiveness,E
72,16PF,0.8,-1,Seldom daydream,Imagination,O
73,16PF,0.8,-1,Seldom get lost in thought,Imagination,O
74,16PF,0.78,-1,Seldom joke around,Gregariousness,E
75,16PF,0.76,-1,Skip difficult words while reading,Intellect,O
76,16PF,0.8,1,Spend time thinking about past mistakes,Anxiety,N
77,16PF,0.8,1,Start conversations,Friendliness,E
78,16PF,0.8,1,Swim against the current,Imagination,O
79,16PF,0.81,1,Take charge,Assertiveness,E
80,16PF,0.81,1,Take control of things,Assertiveness,E
81,16PF,0.8,1,Take deviant positions,Imagination,O
82,16PF,0.8,1,Talk to a lot of different people at parties,Friendliness,E
83,16PF,0.76,1,Tend to analyze things,Intellect,O
84,16PF,0.84,1,Try to follow the rules,Dutifulness,C
85,16PF,0.76,-1,Try to forgive and forget,Emotionality,O
86,16PF,0.76,1,Use your brain,Intellect,O
87,16PF,0.84,-1,Use swear words,Dutifulness,C
88,16PF,0.81,-1,Wait for others to lead the way,Assertiveness,E
89,16PF,0.81,1,Want to be in charge,Assertiveness,E
90,16PF,0.76,1,Weigh the pros against the cons,Intellect,O
91,16PF,0.8,1,Worry about things,Anxiety,N
92,6FPQ,0.73,1,Accept people as they are,Agreeableness,A
93,6FPQ,0.82,1,Accomplish a lot of work,Achievement-striving,C
94,6FPQ,0.7,-1,Are a creature of habit,Adventurousness,O
95,6FPQ,0.73,-1,Are annoyed by others' mistakes,Agreeableness,A
96,6FPQ,0.7,-1,Are attached to conventional ways,Adventurousness,O
97,6FPQ,0.81,-1,Are continually losing things,Orderliness,C
98,6FPQ,0.73,-1,Are easily offended,Agreeableness,A
99,6FPQ,0.85,1,Are good at making impromptu speeches,Extraversion,E
100,6FPQ,0.87,-1,Are hard to get to know,Gregariousness,E
101,6FPQ,0.73,1,Are inclined to forgive others,Agreeableness,A
102,6FPQ,0.8,1,Are interested in many things,Intellectual Openness,O
103,6FPQ,0.73,1,Are not disturbed by events,Agreeableness,A
104,6FPQ,0.85,-1,Are not good at getting people to like me,Extraversion,E
105,6FPQ,0.8,-1,Are not interested in abstract ideas,Intellectual Openness,O
106,6FPQ,0.8,-1,Are not interested in theoretical discussions,Intellectual Openness,O
107,6FPQ,0.8,1,Are open to change,Intellectual Openness,O
108,6FPQ,0.85,1,Are skilled in handling social situations,Extraversion,E
109,6FPQ,0.87,-1,Avoid company,Gregariousness,E
110,6FPQ,0.87,-1,Avoid contacts with others,Gregariousness,E
111,6FPQ,0.81,-1,Can never find anything,Orderliness,C
112,6FPQ,0.85,1,Can talk others into doing things,Extraversion,E
113,6FPQ,0.8,1,Carry the conversation to a higher level,Intellectual Openness,O
114,6FPQ,0.7,-1,Dislike changes,Adventurousness,O
115,6FPQ,0.7,-1,Dislike the unknown,Adventurousness,O
116,6FPQ,0.82,1,Do a lot in your spare time,Achievement-striving,C
117,6FPQ,0.82,-1,Do just enough work to get by,Achievement-striving,C
118,6FPQ,0.82,1,Do more than what's expected of me,Achievement-striving,C
119,6FPQ,0.81,1,Do unpleasant tasks immediately,Orderliness,C
120,6FPQ,0.7,-1,Don't like to travel,Adventurousness,O
121,6FPQ,0.82,1,Excel in what you do,Achievement-striving,C
122,6FPQ,0.85,1,Express yourself easily,Extraversion,E
123,6FPQ,0.87,1,Feel comfortable around people,Gregariousness,E
124,6FPQ,0.85,-1,Find it difficult to approach others,Extraversion,E
125,6FPQ,0.82,-1,Find it difficult to get down to work,Achievement-striving,C
126,6FPQ,0.73,-1,Get back at others,Agreeableness,A
127,6FPQ,0.82,-1,Hang around doing nothing,Achievement-striving,C
128,6FPQ,0.85,1,Have a natural talent for influencing people,Extraversion,E
129,6FPQ,0.81,1,Have an eye for detail,Orderliness,C
130,6FPQ,0.73,-1,Hold a grudge,Agreeableness,A
131,6FPQ,0.85,-1,Keep in the background,Extraversion,E
132,6FPQ,0.87,-1,Keep others at a distance,Gregariousness,E
133,6FPQ,0.85,-1,Lack the talent for influencing people,Extraversion,E
134,6FPQ,0.81,1,Like to tidy up,Orderliness,C
135,6FPQ,0.7,1,Like to visit new places,Adventurousness,O
136,6FPQ,0.87,1,Make friends easily,Gregariousness,E
137,6FPQ,0.82,-1,Need a push to get started,Achievement-striving,C
138,6FPQ,0.87,-1,Often feel uncomfortable around others,Gregariousness,E
139,6FPQ,0.81,1,Often forget to put things back in their proper place,Orderliness,C
140,6FPQ,0.82,1,Plunge into tasks with all your heart,Achievement-striving,C
141,6FPQ,0.8,-1,Prefer to stick with things that you know,Intellectual Openness,O
142,6FPQ,0.8,1,Prefer variety to routine,Intellectual Openness,O
143,6FPQ,0.8,-1,Rarely look for a deeper meaning in things,Intellectual Openness,O
144,6FPQ,0.7,1,Seek adventure,Adventurousness,O
145,6FPQ,0.82,-1,Shirk your duties,Achievement-striving,C
146,6FPQ,0.87,1,Start conversations,Gregariousness,E
147,6FPQ,0.73,1,Take things as they come,Agreeableness,A
148,6FPQ,0.87,1,Talk to a lot of different people at parties,Gregariousness,E
149,6FPQ,0.73,1,Tolerate a lot from others,Agreeableness,A
150,6FPQ,0.8,-1,Try to avoid complex people,Intellectual Openness,O
151,6FPQ,0.7,1,Try to do too difficult things,Adventurousness,O
152,6FPQ,0.73,1,Try to forgive and forget,Agreeableness,A
153,6FPQ,0.8,1,Want to increase your knowledge,Intellectual Openness,O
154,6FPQ,0.87,1,Warm up quickly to others,Gregariousness,E
155,6FPQ,0.85,-1,Would describe your experiences as somewhat dull,Extraversion,E
156,6FPQ,0.7,1,Would like to live for awhile in a different country,Adventurousness,O
157,6FPQ,0.7,-1,Would never go hang-gliding or bungee-jumping,Adventurousness,O
158,7FACTOR,0.75,-1,Act wild and crazy,Conscientiousness,C
159,7FACTOR,0.77,1,Are concerned about others,Agreeableness,A
160,7FACTOR,0.84,-1,Are not interested in abstract ideas,Intellect,O
161,7FACTOR,0.77,-1,Are not interested in other people's problems,Agreeableness,A
162,7FACTOR,0.82,1,Are open about your feelings,Extraversion,E
163,7FACTOR,0.84,-1,Avoid difficult reading material,Intellect,O
164,7FACTOR,0.75,1,Believe laws should be strictly enforced,Conscientiousness,C
165,7FACTOR,0.75,-1,Break rules,Conscientiousness,C
166,7FACTOR,0.84,1,Carry the conversation to a higher level,Intellect,O
167,7FACTOR,0.75,-1,Do crazy things,Conscientiousness,C
168,7FACTOR,0.75,1,Do things by the book,Conscientiousness,C
169,7FACTOR,0.75,-1,Do things in a half-way manner,Conscientiousness,C
170,7FACTOR,0.82,-1,Don't talk a lot,Extraversion,E
171,7FACTOR,0.77,1,Feel others' emotions,Agreeableness,A
172,7FACTOR,0.77,-1,Find fault with everything,Agreeableness,A
173,7FACTOR,0.84,1,Have a rich vocabulary,Intellect,O
174,7FACTOR,0.77,1,Have a soft heart,Agreeableness,A
