Template Selection Results
+----+--------------------------------+-------------+
|    | Template                       |      Scores |
|----+--------------------------------+-------------|
|  0 | [lc]-[s]-[type-i]-[ans-i]      | 0.000945687 |
|  1 | [lc]-[s]-[type-iii]-[ans-i]    | 0.000747442 |
|  2 | [lc]-[s]-[type-ii]-[ans-i]     | 0.000622869 |
|  3 | [lc]-[ns]-[type-i]-[ans-i]     | 0.000585198 |
|  4 | [og]-[s]-[type-ii]-[ans-iii]   | 0.000579715 |
|  5 | [og]-[ns]-[type-i]-[ans-i]     | 0.000546694 |
|  6 | [lc]-[ns]-[type-i]-[ans-iii]   | 0.000512362 |
|  7 | [og]-[s]-[type-i]-[ans-i]      | 0.0004704   |
|  8 | [lc]-[s]-[type-iii]-[ans-iii]  | 0.000457406 |
|  9 | [og]-[s]-[type-ii]-[ans-i]     | 0.00044775  |
| 10 | [lc]-[s]-[type-ii]-[ans-iii]   | 0.000428677 |
| 11 | [og]-[ns]-[type-ii]-[ans-iii]  | 0.000426412 |
| 12 | [og]-[s]-[type-i]-[ans-ii]     | 0.000425816 |
| 13 | [og]-[s]-[type-ii]-[ans-ii]    | 0.000425816 |
| 14 | [og]-[s]-[type-iii]-[ans-i]    | 0.000425458 |
| 15 | [og]-[ns]-[type-ii]-[ans-i]    | 0.000424385 |
| 16 | [og]-[ns]-[type-ii]-[ans-ii]   | 0.000409484 |
| 17 | [og]-[s]-[type-iii]-[ans-ii]   | 0.000404358 |
| 18 | [lc]-[ns]-[type-ii]-[ans-iii]  | 0.000397205 |
| 19 | [lc]-[ns]-[type-ii]-[ans-i]    | 0.000385761 |
| 20 | [lc]-[ns]-[type-i]-[ans-ii]    | 0.000384688 |
| 21 | [lc]-[ns]-[type-iii]-[ans-i]   | 0.000372648 |
| 22 | [lc]-[s]-[type-ii]-[ans-ii]    | 0.000368834 |
| 23 | [lc]-[s]-[type-i]-[ans-ii]     | 0.000368834 |
| 24 | [lc]-[ns]-[type-ii]-[ans-ii]   | 0.00036633  |
| 25 | [og]-[s]-[type-i]-[ans-iii]    | 0.000351191 |
| 26 | [og]-[ns]-[type-iii]-[ans-i]   | 0.000332832 |
| 27 | [lc]-[s]-[type-iii]-[ans-ii]   | 0.000317931 |
| 28 | [lc]-[s]-[type-i]-[ans-iii]    | 0.000316143 |
| 29 | [og]-[ns]-[type-i]-[ans-iii]   | 0.000281572 |
| 30 | [lc]-[ns]-[type-iii]-[ans-ii]  | 0.000280023 |
| 31 | [og]-[ns]-[type-i]-[ans-ii]    | 0.000279069 |
| 32 | [og]-[ns]-[type-iii]-[ans-ii]  | 0.000276208 |
| 33 | [og]-[ns]-[type-iii]-[ans-iii] | 0.000247478 |
| 34 | [og]-[s]-[type-iii]-[ans-iii]  | 0.000235438 |
| 35 | [lc]-[ns]-[type-iii]-[ans-iii] | 0.000228047 |
+----+--------------------------------+-------------+

For GPTNEO, among these templates, [lc]-[s]-[type-i]-[ans-i] achieved the highest score.
