Template Selection Results
+----+--------------------------------+-------------+
|    | Template                       |      Scores |
|----+--------------------------------+-------------|
|  0 | [lc]-[s]-[type-ii]-[ans-i]     | 0.002316    |
|  1 | [og]-[s]-[type-ii]-[ans-i]     | 0.002316    |
|  2 | [lc]-[s]-[type-iii]-[ans-i]    | 0.00164735  |
|  3 | [og]-[s]-[type-iii]-[ans-i]    | 0.00164735  |
|  4 | [og]-[ns]-[type-iii]-[ans-i]   | 0.00161499  |
|  5 | [lc]-[ns]-[type-iii]-[ans-i]   | 0.00161499  |
|  6 | [lc]-[s]-[type-i]-[ans-i]      | 0.00150108  |
|  7 | [og]-[s]-[type-i]-[ans-i]      | 0.00150108  |
|  8 | [lc]-[ns]-[type-ii]-[ans-i]    | 0.00142509  |
|  9 | [og]-[ns]-[type-ii]-[ans-i]    | 0.00142509  |
| 10 | [lc]-[ns]-[type-i]-[ans-iii]   | 0.00125086  |
| 11 | [og]-[ns]-[type-i]-[ans-iii]   | 0.00125086  |
| 12 | [og]-[s]-[type-i]-[ans-iii]    | 0.00110447  |
| 13 | [lc]-[s]-[type-i]-[ans-iii]    | 0.00110447  |
| 14 | [lc]-[s]-[type-ii]-[ans-iii]   | 0.0010913   |
| 15 | [og]-[s]-[type-ii]-[ans-iii]   | 0.0010913   |
| 16 | [og]-[ns]-[type-i]-[ans-i]     | 0.00107718  |
| 17 | [lc]-[ns]-[type-i]-[ans-i]     | 0.00107718  |
| 18 | [og]-[ns]-[type-ii]-[ans-iii]  | 0.000995636 |
| 19 | [lc]-[ns]-[type-ii]-[ans-iii]  | 0.000995636 |
| 20 | [lc]-[s]-[type-iii]-[ans-iii]  | 0.000991821 |
| 21 | [og]-[s]-[type-iii]-[ans-iii]  | 0.000991821 |
| 22 | [og]-[ns]-[type-iii]-[ans-iii] | 0.00090605  |
| 23 | [lc]-[ns]-[type-iii]-[ans-iii] | 0.00090605  |
| 24 | [lc]-[s]-[type-i]-[ans-ii]     | 0.000779271 |
| 25 | [og]-[s]-[type-i]-[ans-ii]     | 0.000779271 |
| 26 | [lc]-[s]-[type-ii]-[ans-ii]    | 0.000779271 |
| 27 | [og]-[s]-[type-ii]-[ans-ii]    | 0.000779271 |
| 28 | [og]-[ns]-[type-ii]-[ans-ii]   | 0.000742435 |
| 29 | [lc]-[ns]-[type-ii]-[ans-ii]   | 0.000742435 |
| 30 | [lc]-[ns]-[type-i]-[ans-ii]    | 0.000693023 |
| 31 | [og]-[ns]-[type-i]-[ans-ii]    | 0.000693023 |
| 32 | [lc]-[ns]-[type-iii]-[ans-ii]  | 0.000651896 |
| 33 | [og]-[ns]-[type-iii]-[ans-ii]  | 0.000651896 |
| 34 | [og]-[s]-[type-iii]-[ans-ii]   | 0.000641346 |
| 35 | [lc]-[s]-[type-iii]-[ans-ii]   | 0.000641346 |
+----+--------------------------------+-------------+

For GPTNEO, among these templates, [lc]-[s]-[type-ii]-[ans-i] achieved the highest score.
