Template Selection Results
+----+--------------------------------+-------------+
|    | Template                       |      Scores |
|----+--------------------------------+-------------|
|  0 | [lc]-[s]-[type-ii]-[ans-iii]   | 0.00335348  |
|  1 | [og]-[s]-[type-ii]-[ans-iii]   | 0.00335348  |
|  2 | [og]-[s]-[type-i]-[ans-iii]    | 0.0032959   |
|  3 | [lc]-[s]-[type-i]-[ans-iii]    | 0.0032959   |
|  4 | [og]-[s]-[type-iii]-[ans-iii]  | 0.00288022  |
|  5 | [lc]-[s]-[type-iii]-[ans-iii]  | 0.00288022  |
|  6 | [og]-[ns]-[type-i]-[ans-iii]   | 0.00225377  |
|  7 | [lc]-[ns]-[type-i]-[ans-iii]   | 0.00225377  |
|  8 | [lc]-[ns]-[type-iii]-[ans-iii] | 0.00217974  |
|  9 | [og]-[ns]-[type-iii]-[ans-iii] | 0.00217974  |
| 10 | [og]-[ns]-[type-ii]-[ans-iii]  | 0.00159919  |
| 11 | [lc]-[ns]-[type-ii]-[ans-iii]  | 0.00159919  |
| 12 | [lc]-[s]-[type-ii]-[ans-i]     | 0.00158572  |
| 13 | [og]-[s]-[type-ii]-[ans-i]     | 0.00158572  |
| 14 | [lc]-[s]-[type-ii]-[ans-ii]    | 0.0015676   |
| 15 | [og]-[s]-[type-i]-[ans-ii]     | 0.0015676   |
| 16 | [lc]-[s]-[type-i]-[ans-ii]     | 0.0015676   |
| 17 | [og]-[s]-[type-ii]-[ans-ii]    | 0.0015676   |
| 18 | [og]-[s]-[type-iii]-[ans-ii]   | 0.00142503  |
| 19 | [lc]-[s]-[type-iii]-[ans-ii]   | 0.00142503  |
| 20 | [lc]-[ns]-[type-iii]-[ans-ii]  | 0.00136745  |
| 21 | [og]-[ns]-[type-iii]-[ans-ii]  | 0.00136745  |
| 22 | [og]-[ns]-[type-i]-[ans-ii]    | 0.00135052  |
| 23 | [lc]-[ns]-[type-i]-[ans-ii]    | 0.00135052  |
| 24 | [og]-[ns]-[type-ii]-[ans-ii]   | 0.00134158  |
| 25 | [lc]-[ns]-[type-ii]-[ans-ii]   | 0.00134158  |
| 26 | [og]-[s]-[type-i]-[ans-i]      | 0.00134021  |
| 27 | [lc]-[s]-[type-i]-[ans-i]      | 0.00134021  |
| 28 | [lc]-[s]-[type-iii]-[ans-i]    | 0.0011555   |
| 29 | [og]-[s]-[type-iii]-[ans-i]    | 0.0011555   |
| 30 | [lc]-[ns]-[type-ii]-[ans-i]    | 0.000917435 |
| 31 | [og]-[ns]-[type-ii]-[ans-i]    | 0.000917435 |
| 32 | [og]-[ns]-[type-iii]-[ans-i]   | 0.00090754  |
| 33 | [lc]-[ns]-[type-iii]-[ans-i]   | 0.00090754  |
| 34 | [og]-[ns]-[type-i]-[ans-i]     | 0.00077939  |
| 35 | [lc]-[ns]-[type-i]-[ans-i]     | 0.00077939  |
+----+--------------------------------+-------------+

For GPT2, among these templates, [lc]-[s]-[type-ii]-[ans-iii] achieved the highest score.
