Template Selection Results
+----+--------------------------------+-------------+
|    | Template                       |      Scores |
|----+--------------------------------+-------------|
|  0 | [og]-[ns]-[type-ii]-[ans-i]    | 0.000275493 |
|  1 | [og]-[ns]-[type-iii]-[ans-i]   | 0.000270844 |
|  2 | [lc]-[ns]-[type-ii]-[ans-i]    | 0.000266314 |
|  3 | [lc]-[ns]-[type-i]-[ans-i]     | 0.000255227 |
|  4 | [og]-[ns]-[type-i]-[ans-i]     | 0.000235319 |
|  5 | [lc]-[ns]-[type-iii]-[ans-i]   | 0.000233769 |
|  6 | [lc]-[s]-[type-ii]-[ans-i]     | 0.000232339 |
|  7 | [og]-[s]-[type-ii]-[ans-i]     | 0.000229955 |
|  8 | [lc]-[s]-[type-i]-[ans-iii]    | 0.00021565  |
|  9 | [lc]-[ns]-[type-i]-[ans-iii]   | 0.000213623 |
| 10 | [og]-[s]-[type-i]-[ans-i]      | 0.000210881 |
| 11 | [og]-[ns]-[type-i]-[ans-iii]   | 0.000194907 |
| 12 | [og]-[s]-[type-iii]-[ans-i]    | 0.000193    |
| 13 | [og]-[s]-[type-i]-[ans-iii]    | 0.000187874 |
| 14 | [lc]-[s]-[type-ii]-[ans-iii]   | 0.000181675 |
| 15 | [lc]-[s]-[type-i]-[ans-i]      | 0.000176191 |
| 16 | [og]-[s]-[type-ii]-[ans-iii]   | 0.000172853 |
| 17 | [lc]-[s]-[type-iii]-[ans-i]    | 0.000172734 |
| 18 | [og]-[ns]-[type-ii]-[ans-iii]  | 0.000171304 |
| 19 | [lc]-[ns]-[type-ii]-[ans-iii]  | 0.00017035  |
| 20 | [lc]-[s]-[type-ii]-[ans-ii]    | 0.000153065 |
| 21 | [lc]-[s]-[type-i]-[ans-ii]     | 0.000153065 |
| 22 | [lc]-[ns]-[type-ii]-[ans-ii]   | 0.000150323 |
| 23 | [og]-[s]-[type-i]-[ans-ii]     | 0.000146985 |
| 24 | [og]-[s]-[type-ii]-[ans-ii]    | 0.000146985 |
| 25 | [og]-[ns]-[type-i]-[ans-ii]    | 0.000142813 |
| 26 | [og]-[ns]-[type-ii]-[ans-ii]   | 0.000142574 |
| 27 | [lc]-[ns]-[type-iii]-[ans-ii]  | 0.000140786 |
| 28 | [lc]-[ns]-[type-i]-[ans-ii]    | 0.000135422 |
| 29 | [lc]-[ns]-[type-iii]-[ans-iii] | 0.000131726 |
| 30 | [og]-[ns]-[type-iii]-[ans-ii]  | 0.000126481 |
| 31 | [og]-[ns]-[type-iii]-[ans-iii] | 0.000118136 |
| 32 | [og]-[s]-[type-iii]-[ans-ii]   | 9.93013e-05 |
| 33 | [og]-[s]-[type-iii]-[ans-iii]  | 9.44138e-05 |
| 34 | [lc]-[s]-[type-iii]-[ans-iii]  | 9.31025e-05 |
| 35 | [lc]-[s]-[type-iii]-[ans-ii]   | 8.59499e-05 |
+----+--------------------------------+-------------+

For GPT2, among these templates, [og]-[ns]-[type-ii]-[ans-i] achieved the highest score.
