Template Selection Results
+----+--------------------------------+-------------+
|    | Template                       |      Scores |
|----+--------------------------------+-------------|
|  0 | [lc]-[ns]-[type-ii]-[ans-iii]  | 0.00339162  |
|  1 | [lc]-[ns]-[type-i]-[ans-iii]   | 0.00326848  |
|  2 | [lc]-[s]-[type-ii]-[ans-iii]   | 0.00231504  |
|  3 | [lc]-[ns]-[type-iii]-[ans-iii] | 0.00199664  |
|  4 | [lc]-[s]-[type-iii]-[ans-iii]  | 0.00188851  |
|  5 | [lc]-[s]-[type-i]-[ans-iii]    | 0.00184333  |
|  6 | [lc]-[ns]-[type-ii]-[ans-ii]   | 0.00173956  |
|  7 | [lc]-[s]-[type-i]-[ans-ii]     | 0.00157326  |
|  8 | [lc]-[s]-[type-ii]-[ans-ii]    | 0.00157326  |
|  9 | [lc]-[ns]-[type-iii]-[ans-ii]  | 0.00142002  |
| 10 | [lc]-[ns]-[type-i]-[ans-ii]    | 0.00140589  |
| 11 | [og]-[s]-[type-ii]-[ans-i]     | 0.00128078  |
| 12 | [og]-[s]-[type-i]-[ans-iii]    | 0.00117469  |
| 13 | [lc]-[ns]-[type-ii]-[ans-i]    | 0.00115323  |
| 14 | [og]-[s]-[type-ii]-[ans-iii]   | 0.00112832  |
| 15 | [lc]-[s]-[type-ii]-[ans-i]     | 0.00110888  |
| 16 | [og]-[ns]-[type-iii]-[ans-iii] | 0.00108075  |
| 17 | [lc]-[s]-[type-iii]-[ans-ii]   | 0.00106418  |
| 18 | [og]-[ns]-[type-iii]-[ans-i]   | 0.00106221  |
| 19 | [lc]-[s]-[type-i]-[ans-i]      | 0.000998914 |
| 20 | [og]-[ns]-[type-ii]-[ans-i]    | 0.000988126 |
| 21 | [og]-[ns]-[type-iii]-[ans-ii]  | 0.000987232 |
| 22 | [og]-[s]-[type-iii]-[ans-i]    | 0.00096333  |
| 23 | [og]-[ns]-[type-ii]-[ans-iii]  | 0.000962615 |
| 24 | [og]-[s]-[type-iii]-[ans-iii]  | 0.000946999 |
| 25 | [og]-[s]-[type-i]-[ans-ii]     | 0.000944495 |
| 26 | [og]-[s]-[type-ii]-[ans-ii]    | 0.000944495 |
| 27 | [og]-[s]-[type-i]-[ans-i]      | 0.000913858 |
| 28 | [og]-[ns]-[type-i]-[ans-i]     | 0.000828505 |
| 29 | [lc]-[ns]-[type-iii]-[ans-i]   | 0.000828445 |
| 30 | [lc]-[ns]-[type-i]-[ans-i]     | 0.000826657 |
| 31 | [og]-[ns]-[type-ii]-[ans-ii]   | 0.000789762 |
| 32 | [og]-[ns]-[type-i]-[ans-iii]   | 0.000723958 |
| 33 | [og]-[s]-[type-iii]-[ans-ii]   | 0.000679016 |
| 34 | [lc]-[s]-[type-iii]-[ans-i]    | 0.000648022 |
| 35 | [og]-[ns]-[type-i]-[ans-ii]    | 0.000577688 |
+----+--------------------------------+-------------+

For GPT2, among these templates, [lc]-[ns]-[type-ii]-[ans-iii] achieved the highest score.
