Template Selection Results
+----+--------------------------------+-------------+
|    | Template                       |      Scores |
|----+--------------------------------+-------------|
|  0 | [og]-[s]-[type-ii]-[ans-i]     | 0.000383735 |
|  1 | [lc]-[s]-[type-iii]-[ans-i]    | 0.000381231 |
|  2 | [og]-[s]-[type-iii]-[ans-i]    | 0.000366688 |
|  3 | [lc]-[s]-[type-ii]-[ans-i]     | 0.000346899 |
|  4 | [og]-[s]-[type-i]-[ans-i]      | 0.000342011 |
|  5 | [lc]-[s]-[type-i]-[ans-i]      | 0.000283241 |
|  6 | [og]-[ns]-[type-ii]-[ans-i]    | 0.000225306 |
|  7 | [og]-[ns]-[type-i]-[ans-i]     | 0.000216484 |
|  8 | [lc]-[ns]-[type-ii]-[ans-i]    | 0.000194788 |
|  9 | [lc]-[ns]-[type-i]-[ans-i]     | 0.000155807 |
| 10 | [og]-[ns]-[type-iii]-[ans-i]   | 0.000153542 |
| 11 | [lc]-[s]-[type-i]-[ans-iii]    | 0.000150323 |
| 12 | [og]-[s]-[type-iii]-[ans-iii]  | 0.000145435 |
| 13 | [lc]-[s]-[type-ii]-[ans-iii]   | 0.000139475 |
| 14 | [lc]-[s]-[type-iii]-[ans-iii]  | 0.000135183 |
| 15 | [lc]-[ns]-[type-iii]-[ans-i]   | 0.000134826 |
| 16 | [lc]-[ns]-[type-i]-[ans-iii]   | 0.000133872 |
| 17 | [lc]-[s]-[type-iii]-[ans-ii]   | 0.000133157 |
| 18 | [lc]-[ns]-[type-i]-[ans-ii]    | 0.00012815  |
| 19 | [lc]-[s]-[type-i]-[ans-ii]     | 0.000121117 |
| 20 | [lc]-[s]-[type-ii]-[ans-ii]    | 0.000121117 |
| 21 | [og]-[ns]-[type-i]-[ans-ii]    | 0.000117183 |
| 22 | [og]-[s]-[type-ii]-[ans-iii]   | 0.000111461 |
| 23 | [og]-[s]-[type-iii]-[ans-ii]   | 0.000109434 |
| 24 | [og]-[s]-[type-i]-[ans-iii]    | 0.000106454 |
| 25 | [lc]-[ns]-[type-ii]-[ans-iii]  | 0.000102878 |
| 26 | [og]-[ns]-[type-i]-[ans-iii]   | 0.000101447 |
| 27 | [lc]-[ns]-[type-ii]-[ans-ii]   | 0.000100374 |
| 28 | [lc]-[ns]-[type-iii]-[ans-ii]  | 9.82285e-05 |
| 29 | [og]-[s]-[type-i]-[ans-ii]     | 9.21488e-05 |
| 30 | [og]-[s]-[type-ii]-[ans-ii]    | 9.21488e-05 |
| 31 | [og]-[ns]-[type-ii]-[ans-iii]  | 8.91685e-05 |
| 32 | [og]-[ns]-[type-ii]-[ans-ii]   | 8.44002e-05 |
| 33 | [lc]-[ns]-[type-iii]-[ans-iii] | 7.31945e-05 |
| 34 | [og]-[ns]-[type-iii]-[ans-ii]  | 6.85453e-05 |
| 35 | [og]-[ns]-[type-iii]-[ans-iii] | 5.00679e-05 |
+----+--------------------------------+-------------+

For GPT2, among these templates, [og]-[s]-[type-ii]-[ans-i] achieved the highest score.
