Template Selection Results
+----+--------------------------------+-------------+
|    | Template                       |      Scores |
|----+--------------------------------+-------------|
|  0 | [lc]-[s]-[type-ii]-[ans-ii]    | 0.0042702   |
|  1 | [lc]-[s]-[type-i]-[ans-ii]     | 0.0042702   |
|  2 | [lc]-[s]-[type-iii]-[ans-i]    | 0.00368977  |
|  3 | [lc]-[s]-[type-ii]-[ans-i]     | 0.00340307  |
|  4 | [lc]-[s]-[type-ii]-[ans-iii]   | 0.00332057  |
|  5 | [lc]-[s]-[type-i]-[ans-iii]    | 0.00331807  |
|  6 | [lc]-[ns]-[type-i]-[ans-iii]   | 0.00324404  |
|  7 | [og]-[s]-[type-i]-[ans-i]      | 0.00292367  |
|  8 | [og]-[ns]-[type-i]-[ans-i]     | 0.0025472   |
|  9 | [lc]-[s]-[type-i]-[ans-i]      | 0.00245702  |
| 10 | [lc]-[ns]-[type-ii]-[ans-i]    | 0.00233138  |
| 11 | [og]-[ns]-[type-iii]-[ans-ii]  | 0.00208932  |
| 12 | [lc]-[ns]-[type-ii]-[ans-iii]  | 0.00202167  |
| 13 | [og]-[ns]-[type-ii]-[ans-i]    | 0.0019682   |
| 14 | [og]-[ns]-[type-i]-[ans-ii]    | 0.00189555  |
| 15 | [lc]-[ns]-[type-ii]-[ans-ii]   | 0.00188744  |
| 16 | [lc]-[s]-[type-iii]-[ans-iii]  | 0.00182945  |
| 17 | [lc]-[s]-[type-iii]-[ans-ii]   | 0.00181842  |
| 18 | [og]-[s]-[type-iii]-[ans-ii]   | 0.00178218  |
| 19 | [og]-[s]-[type-iii]-[ans-i]    | 0.00177544  |
| 20 | [og]-[s]-[type-ii]-[ans-i]     | 0.00172621  |
| 21 | [og]-[s]-[type-i]-[ans-ii]     | 0.00168502  |
| 22 | [og]-[s]-[type-ii]-[ans-ii]    | 0.00168502  |
| 23 | [og]-[ns]-[type-ii]-[ans-ii]   | 0.00167161  |
| 24 | [lc]-[ns]-[type-iii]-[ans-i]   | 0.00148213  |
| 25 | [lc]-[ns]-[type-i]-[ans-i]     | 0.00137281  |
| 26 | [lc]-[ns]-[type-iii]-[ans-iii] | 0.0012517   |
| 27 | [og]-[ns]-[type-iii]-[ans-i]   | 0.00123036  |
| 28 | [og]-[s]-[type-ii]-[ans-iii]   | 0.00117421  |
| 29 | [og]-[s]-[type-iii]-[ans-iii]  | 0.00114846  |
| 30 | [og]-[ns]-[type-iii]-[ans-iii] | 0.00114632  |
| 31 | [og]-[ns]-[type-ii]-[ans-iii]  | 0.0010643   |
| 32 | [og]-[s]-[type-i]-[ans-iii]    | 0.00105399  |
| 33 | [og]-[ns]-[type-i]-[ans-iii]   | 0.0010339   |
| 34 | [lc]-[ns]-[type-iii]-[ans-ii]  | 0.000886798 |
| 35 | [lc]-[ns]-[type-i]-[ans-ii]    | 0.000858068 |
+----+--------------------------------+-------------+

For GPT2, among these templates, [lc]-[s]-[type-ii]-[ans-ii] achieved the highest score.
