Template Selection Results
+----+--------------------------------+-------------+
|    | Template                       |      Scores |
|----+--------------------------------+-------------|
|  0 | [og]-[s]-[type-ii]-[ans-i]     | 0.000313044 |
|  1 | [og]-[s]-[type-i]-[ans-i]      | 0.000248909 |
|  2 | [lc]-[s]-[type-ii]-[ans-i]     | 0.000231504 |
|  3 | [lc]-[ns]-[type-i]-[ans-i]     | 0.000213265 |
|  4 | [lc]-[s]-[type-i]-[ans-i]      | 0.000209689 |
|  5 | [og]-[s]-[type-iii]-[ans-i]    | 0.000206709 |
|  6 | [og]-[ns]-[type-ii]-[ans-i]    | 0.000197291 |
|  7 | [og]-[ns]-[type-i]-[ans-i]     | 0.00019443  |
|  8 | [lc]-[ns]-[type-ii]-[ans-i]    | 0.000192642 |
|  9 | [lc]-[s]-[type-iii]-[ans-i]    | 0.000170231 |
| 10 | [lc]-[ns]-[type-iii]-[ans-i]   | 0.000151992 |
| 11 | [og]-[ns]-[type-iii]-[ans-i]   | 0.000146031 |
| 12 | [lc]-[s]-[type-i]-[ans-ii]     | 0.000144482 |
| 13 | [lc]-[s]-[type-ii]-[ans-ii]    | 0.000144482 |
| 14 | [lc]-[s]-[type-ii]-[ans-iii]   | 0.000130057 |
| 15 | [lc]-[ns]-[type-ii]-[ans-iii]  | 0.000124812 |
| 16 | [lc]-[ns]-[type-i]-[ans-iii]   | 0.000124454 |
| 17 | [og]-[s]-[type-ii]-[ans-ii]    | 0.000121593 |
| 18 | [og]-[s]-[type-i]-[ans-ii]     | 0.000121593 |
| 19 | [og]-[ns]-[type-ii]-[ans-iii]  | 0.00011754  |
| 20 | [lc]-[s]-[type-i]-[ans-iii]    | 0.000109076 |
| 21 | [og]-[ns]-[type-i]-[ans-iii]   | 0.00010097  |
| 22 | [lc]-[ns]-[type-ii]-[ans-ii]   | 0.00010097  |
| 23 | [og]-[ns]-[type-ii]-[ans-ii]   | 0.000100136 |
| 24 | [og]-[ns]-[type-i]-[ans-ii]    | 9.56059e-05 |
| 25 | [og]-[s]-[type-i]-[ans-iii]    | 9.29832e-05 |
| 26 | [og]-[s]-[type-ii]-[ans-iii]   | 9.27448e-05 |
| 27 | [lc]-[ns]-[type-i]-[ans-ii]    | 9.17912e-05 |
| 28 | [lc]-[s]-[type-iii]-[ans-ii]   | 9.01222e-05 |
| 29 | [lc]-[ns]-[type-iii]-[ans-iii] | 8.78572e-05 |
| 30 | [lc]-[s]-[type-iii]-[ans-iii]  | 8.61883e-05 |
| 31 | [og]-[s]-[type-iii]-[ans-ii]   | 7.60555e-05 |
| 32 | [lc]-[ns]-[type-iii]-[ans-ii]  | 7.55787e-05 |
| 33 | [og]-[ns]-[type-iii]-[ans-iii] | 6.7234e-05  |
| 34 | [og]-[ns]-[type-iii]-[ans-ii]  | 6.48499e-05 |
| 35 | [og]-[s]-[type-iii]-[ans-iii]  | 6.44922e-05 |
+----+--------------------------------+-------------+

For GPT2, among these templates, [og]-[s]-[type-ii]-[ans-i] achieved the highest score.
