Template Selection Results
+----+--------------------------------+-------------+
|    | Template                       |      Scores |
|----+--------------------------------+-------------|
|  0 | [lc]-[ns]-[type-i]-[ans-iii]   | 0.00178361  |
|  1 | [lc]-[s]-[type-iii]-[ans-i]    | 0.00174332  |
|  2 | [lc]-[ns]-[type-ii]-[ans-i]    | 0.0016681   |
|  3 | [lc]-[ns]-[type-i]-[ans-ii]    | 0.00154495  |
|  4 | [og]-[ns]-[type-i]-[ans-ii]    | 0.00147045  |
|  5 | [lc]-[s]-[type-ii]-[ans-i]     | 0.0014317   |
|  6 | [lc]-[ns]-[type-ii]-[ans-ii]   | 0.00141847  |
|  7 | [lc]-[s]-[type-ii]-[ans-iii]   | 0.00138128  |
|  8 | [lc]-[s]-[type-ii]-[ans-ii]    | 0.00136137  |
|  9 | [lc]-[s]-[type-i]-[ans-ii]     | 0.00136137  |
| 10 | [lc]-[ns]-[type-ii]-[ans-iii]  | 0.0013355   |
| 11 | [lc]-[s]-[type-i]-[ans-iii]    | 0.00129652  |
| 12 | [lc]-[ns]-[type-i]-[ans-i]     | 0.00125504  |
| 13 | [lc]-[ns]-[type-iii]-[ans-i]   | 0.00112128  |
| 14 | [lc]-[s]-[type-i]-[ans-i]      | 0.00109637  |
| 15 | [lc]-[s]-[type-iii]-[ans-ii]   | 0.00108826  |
| 16 | [og]-[ns]-[type-i]-[ans-i]     | 0.000919878 |
| 17 | [og]-[ns]-[type-ii]-[ans-ii]   | 0.00087291  |
| 18 | [lc]-[s]-[type-iii]-[ans-iii]  | 0.00086987  |
| 19 | [og]-[ns]-[type-ii]-[ans-i]    | 0.000849307 |
| 20 | [og]-[s]-[type-i]-[ans-ii]     | 0.000802577 |
| 21 | [og]-[s]-[type-ii]-[ans-ii]    | 0.000802577 |
| 22 | [lc]-[ns]-[type-iii]-[ans-ii]  | 0.000782371 |
| 23 | [og]-[ns]-[type-i]-[ans-iii]   | 0.000761986 |
| 24 | [og]-[s]-[type-ii]-[ans-i]     | 0.00073868  |
| 25 | [og]-[s]-[type-i]-[ans-iii]    | 0.000735641 |
| 26 | [og]-[ns]-[type-ii]-[ans-iii]  | 0.00073278  |
| 27 | [og]-[s]-[type-ii]-[ans-iii]   | 0.00072825  |
| 28 | [og]-[ns]-[type-iii]-[ans-i]   | 0.000709713 |
| 29 | [og]-[s]-[type-i]-[ans-i]      | 0.000652492 |
| 30 | [og]-[s]-[type-iii]-[ans-i]    | 0.000614524 |
| 31 | [og]-[ns]-[type-iii]-[ans-ii]  | 0.000602067 |
| 32 | [lc]-[ns]-[type-iii]-[ans-iii] | 0.000558972 |
| 33 | [og]-[s]-[type-iii]-[ans-ii]   | 0.000535429 |
| 34 | [og]-[s]-[type-iii]-[ans-iii]  | 0.000492096 |
| 35 | [og]-[ns]-[type-iii]-[ans-iii] | 0.000429392 |
+----+--------------------------------+-------------+

For GPT2, among these templates, [lc]-[ns]-[type-i]-[ans-iii] achieved the highest score.
