Template Selection Results
+----+--------------------------------+-------------+
|    | Template                       |      Scores |
|----+--------------------------------+-------------|
|  0 | [lc]-[s]-[type-ii]-[ans-iii]   | 0.00309706  |
|  1 | [lc]-[ns]-[type-ii]-[ans-iii]  | 0.00267887  |
|  2 | [lc]-[s]-[type-ii]-[ans-i]     | 0.00267339  |
|  3 | [lc]-[s]-[type-i]-[ans-iii]    | 0.00236881  |
|  4 | [lc]-[s]-[type-iii]-[ans-iii]  | 0.00236285  |
|  5 | [og]-[s]-[type-i]-[ans-iii]    | 0.00199115  |
|  6 | [lc]-[ns]-[type-i]-[ans-iii]   | 0.00198889  |
|  7 | [og]-[s]-[type-ii]-[ans-iii]   | 0.0019722   |
|  8 | [lc]-[ns]-[type-ii]-[ans-i]    | 0.00194448  |
|  9 | [og]-[ns]-[type-ii]-[ans-iii]  | 0.0017457   |
| 10 | [lc]-[ns]-[type-iii]-[ans-iii] | 0.0017221   |
| 11 | [og]-[ns]-[type-i]-[ans-iii]   | 0.00170767  |
| 12 | [og]-[s]-[type-i]-[ans-ii]     | 0.00167543  |
| 13 | [og]-[s]-[type-ii]-[ans-ii]    | 0.00167543  |
| 14 | [og]-[ns]-[type-i]-[ans-i]     | 0.00165665  |
| 15 | [lc]-[ns]-[type-ii]-[ans-ii]   | 0.00153822  |
| 16 | [og]-[s]-[type-ii]-[ans-i]     | 0.00151414  |
| 17 | [lc]-[ns]-[type-iii]-[ans-i]   | 0.00149173  |
| 18 | [lc]-[s]-[type-iii]-[ans-i]    | 0.00147557  |
| 19 | [og]-[ns]-[type-i]-[ans-ii]    | 0.00146842  |
| 20 | [og]-[s]-[type-i]-[ans-i]      | 0.00145537  |
| 21 | [og]-[ns]-[type-iii]-[ans-iii] | 0.00138152  |
| 22 | [og]-[ns]-[type-ii]-[ans-i]    | 0.00135106  |
| 23 | [lc]-[s]-[type-i]-[ans-i]      | 0.00134146  |
| 24 | [lc]-[s]-[type-ii]-[ans-ii]    | 0.00130546  |
| 25 | [lc]-[s]-[type-i]-[ans-ii]     | 0.00130546  |
| 26 | [og]-[ns]-[type-ii]-[ans-ii]   | 0.00126207  |
| 27 | [lc]-[ns]-[type-i]-[ans-i]     | 0.00124371  |
| 28 | [og]-[ns]-[type-iii]-[ans-ii]  | 0.00123131  |
| 29 | [og]-[ns]-[type-iii]-[ans-i]   | 0.00123125  |
| 30 | [og]-[s]-[type-iii]-[ans-i]    | 0.00121081  |
| 31 | [lc]-[ns]-[type-i]-[ans-ii]    | 0.00115347  |
| 32 | [lc]-[ns]-[type-iii]-[ans-ii]  | 0.00111091  |
| 33 | [og]-[s]-[type-iii]-[ans-iii]  | 0.00109529  |
| 34 | [og]-[s]-[type-iii]-[ans-ii]   | 0.000968695 |
| 35 | [lc]-[s]-[type-iii]-[ans-ii]   | 0.000959992 |
+----+--------------------------------+-------------+

For OPT, among these templates, [lc]-[s]-[type-ii]-[ans-iii] achieved the highest score.
