Template Selection Results
+----+--------------------------------+-------------+
|    | Template                       |      Scores |
|----+--------------------------------+-------------|
|  0 | [lc]-[s]-[type-i]-[ans-i]      | 0.000733614 |
|  1 | [og]-[s]-[type-ii]-[ans-i]     | 0.000635862 |
|  2 | [lc]-[ns]-[type-ii]-[ans-iii]  | 0.000542402 |
|  3 | [og]-[s]-[type-i]-[ans-i]      | 0.000516891 |
|  4 | [lc]-[s]-[type-ii]-[ans-i]     | 0.000466704 |
|  5 | [lc]-[s]-[type-i]-[ans-iii]    | 0.000450015 |
|  6 | [lc]-[s]-[type-ii]-[ans-iii]   | 0.000438571 |
|  7 | [lc]-[ns]-[type-ii]-[ans-i]    | 0.000436902 |
|  8 | [lc]-[ns]-[type-i]-[ans-ii]    | 0.000413179 |
|  9 | [lc]-[s]-[type-iii]-[ans-iii]  | 0.000391603 |
| 10 | [lc]-[ns]-[type-i]-[ans-i]     | 0.000386715 |
| 11 | [og]-[ns]-[type-i]-[ans-i]     | 0.000359297 |
| 12 | [og]-[s]-[type-i]-[ans-ii]     | 0.000357985 |
| 13 | [og]-[s]-[type-ii]-[ans-ii]    | 0.000357985 |
| 14 | [og]-[ns]-[type-ii]-[ans-iii]  | 0.00033474  |
| 15 | [lc]-[ns]-[type-iii]-[ans-iii] | 0.000333548 |
| 16 | [og]-[s]-[type-iii]-[ans-i]    | 0.000321507 |
| 17 | [og]-[ns]-[type-ii]-[ans-i]    | 0.000308394 |
| 18 | [og]-[s]-[type-iii]-[ans-ii]   | 0.000303149 |
| 19 | [og]-[ns]-[type-ii]-[ans-ii]   | 0.000300884 |
| 20 | [og]-[s]-[type-ii]-[ans-iii]   | 0.000294924 |
| 21 | [lc]-[s]-[type-ii]-[ans-ii]    | 0.000290275 |
| 22 | [lc]-[s]-[type-i]-[ans-ii]     | 0.000290275 |
| 23 | [lc]-[s]-[type-iii]-[ans-i]    | 0.000280261 |
| 24 | [og]-[s]-[type-i]-[ans-iii]    | 0.000261188 |
| 25 | [og]-[ns]-[type-iii]-[ans-i]   | 0.000257134 |
| 26 | [lc]-[ns]-[type-i]-[ans-iii]   | 0.000252366 |
| 27 | [og]-[ns]-[type-iii]-[ans-ii]  | 0.000246286 |
| 28 | [lc]-[ns]-[type-ii]-[ans-ii]   | 0.000242949 |
| 29 | [og]-[ns]-[type-i]-[ans-ii]    | 0.000240803 |
| 30 | [og]-[ns]-[type-i]-[ans-iii]   | 0.000240564 |
| 31 | [og]-[s]-[type-iii]-[ans-iii]  | 0.000230193 |
| 32 | [lc]-[ns]-[type-iii]-[ans-ii]  | 0.000229597 |
| 33 | [lc]-[s]-[type-iii]-[ans-ii]   | 0.000226259 |
| 34 | [lc]-[ns]-[type-iii]-[ans-i]   | 0.000226021 |
| 35 | [og]-[ns]-[type-iii]-[ans-iii] | 0.000193119 |
+----+--------------------------------+-------------+

For OPT, among these templates, [lc]-[s]-[type-i]-[ans-i] achieved the highest score.
