Template Selection Results
+----+--------------------------------+-------------+
|    | Template                       |      Scores |
|----+--------------------------------+-------------|
|  0 | [lc]-[ns]-[type-iii]-[ans-ii]  | 0.00270081  |
|  1 | [lc]-[ns]-[type-ii]-[ans-ii]   | 0.00260842  |
|  2 | [lc]-[ns]-[type-i]-[ans-iii]   | 0.00221634  |
|  3 | [lc]-[ns]-[type-ii]-[ans-iii]  | 0.00212967  |
|  4 | [lc]-[s]-[type-i]-[ans-i]      | 0.0021137   |
|  5 | [lc]-[s]-[type-ii]-[ans-ii]    | 0.00178027  |
|  6 | [lc]-[s]-[type-i]-[ans-ii]     | 0.00178027  |
|  7 | [lc]-[s]-[type-iii]-[ans-ii]   | 0.00176537  |
|  8 | [lc]-[ns]-[type-i]-[ans-i]     | 0.00176036  |
|  9 | [lc]-[s]-[type-ii]-[ans-iii]   | 0.0017488   |
| 10 | [lc]-[ns]-[type-i]-[ans-ii]    | 0.0017395   |
| 11 | [lc]-[ns]-[type-ii]-[ans-i]    | 0.0016824   |
| 12 | [lc]-[s]-[type-i]-[ans-iii]    | 0.00155747  |
| 13 | [lc]-[ns]-[type-iii]-[ans-iii] | 0.00152886  |
| 14 | [lc]-[s]-[type-ii]-[ans-i]     | 0.00148666  |
| 15 | [lc]-[ns]-[type-iii]-[ans-i]   | 0.0014596   |
| 16 | [og]-[ns]-[type-ii]-[ans-i]    | 0.00116658  |
| 17 | [og]-[ns]-[type-ii]-[ans-ii]   | 0.00111139  |
| 18 | [og]-[ns]-[type-i]-[ans-ii]    | 0.00110281  |
| 19 | [og]-[ns]-[type-i]-[ans-i]     | 0.00109684  |
| 20 | [lc]-[s]-[type-iii]-[ans-i]    | 0.00107145  |
| 21 | [lc]-[s]-[type-iii]-[ans-iii]  | 0.000994205 |
| 22 | [og]-[ns]-[type-ii]-[ans-iii]  | 0.000907183 |
| 23 | [og]-[s]-[type-i]-[ans-ii]     | 0.000904441 |
| 24 | [og]-[s]-[type-ii]-[ans-ii]    | 0.000904441 |
| 25 | [og]-[s]-[type-i]-[ans-iii]    | 0.000881314 |
| 26 | [og]-[s]-[type-ii]-[ans-iii]   | 0.000877261 |
| 27 | [og]-[ns]-[type-iii]-[ans-ii]  | 0.000860095 |
| 28 | [og]-[ns]-[type-i]-[ans-iii]   | 0.000807285 |
| 29 | [og]-[s]-[type-ii]-[ans-i]     | 0.000803232 |
| 30 | [og]-[s]-[type-i]-[ans-i]      | 0.000786185 |
| 31 | [og]-[s]-[type-iii]-[ans-iii]  | 0.000652909 |
| 32 | [og]-[ns]-[type-iii]-[ans-i]   | 0.000634432 |
| 33 | [og]-[s]-[type-iii]-[ans-i]    | 0.000601649 |
| 34 | [og]-[s]-[type-iii]-[ans-ii]   | 0.000584602 |
| 35 | [og]-[ns]-[type-iii]-[ans-iii] | 0.000538468 |
+----+--------------------------------+-------------+

For OPT, among these templates, [lc]-[ns]-[type-iii]-[ans-ii] achieved the highest score.
