Template Selection Results
+----+--------------------------------+-------------+
|    | Template                       |      Scores |
|----+--------------------------------+-------------|
|  0 | [og]-[ns]-[type-ii]-[ans-i]    | 0.00155187  |
|  1 | [og]-[s]-[type-ii]-[ans-i]     | 0.00135148  |
|  2 | [lc]-[s]-[type-ii]-[ans-i]     | 0.00133038  |
|  3 | [og]-[s]-[type-i]-[ans-i]      | 0.00131893  |
|  4 | [og]-[ns]-[type-ii]-[ans-iii]  | 0.00128448  |
|  5 | [og]-[s]-[type-ii]-[ans-iii]   | 0.00126243  |
|  6 | [og]-[ns]-[type-i]-[ans-i]     | 0.00120544  |
|  7 | [og]-[s]-[type-i]-[ans-iii]    | 0.00117779  |
|  8 | [og]-[ns]-[type-iii]-[ans-i]   | 0.00112677  |
|  9 | [lc]-[ns]-[type-ii]-[ans-i]    | 0.00105357  |
| 10 | [lc]-[s]-[type-i]-[ans-iii]    | 0.00103843  |
| 11 | [lc]-[s]-[type-ii]-[ans-iii]   | 0.00101256  |
| 12 | [og]-[ns]-[type-i]-[ans-iii]   | 0.00101066  |
| 13 | [og]-[ns]-[type-iii]-[ans-iii] | 0.000988722 |
| 14 | [lc]-[s]-[type-iii]-[ans-i]    | 0.000978947 |
| 15 | [og]-[s]-[type-i]-[ans-ii]     | 0.000963449 |
| 16 | [og]-[s]-[type-ii]-[ans-ii]    | 0.000963449 |
| 17 | [lc]-[ns]-[type-ii]-[ans-ii]   | 0.000948071 |
| 18 | [lc]-[ns]-[type-iii]-[ans-i]   | 0.000938773 |
| 19 | [lc]-[ns]-[type-ii]-[ans-iii]  | 0.000936508 |
| 20 | [lc]-[s]-[type-i]-[ans-i]      | 0.000929952 |
| 21 | [og]-[ns]-[type-ii]-[ans-ii]   | 0.000927925 |
| 22 | [lc]-[ns]-[type-iii]-[ans-iii] | 0.000908852 |
| 23 | [og]-[s]-[type-iii]-[ans-i]    | 0.000903249 |
| 24 | [lc]-[s]-[type-i]-[ans-ii]     | 0.000901937 |
| 25 | [lc]-[s]-[type-ii]-[ans-ii]    | 0.000901937 |
| 26 | [lc]-[ns]-[type-i]-[ans-i]     | 0.000895023 |
| 27 | [og]-[ns]-[type-i]-[ans-ii]    | 0.000861406 |
| 28 | [og]-[ns]-[type-iii]-[ans-ii]  | 0.000849366 |
| 29 | [lc]-[ns]-[type-iii]-[ans-ii]  | 0.000839233 |
| 30 | [og]-[s]-[type-iii]-[ans-iii]  | 0.000769496 |
| 31 | [lc]-[ns]-[type-i]-[ans-ii]    | 0.000666499 |
| 32 | [lc]-[s]-[type-iii]-[ans-ii]   | 0.000635147 |
| 33 | [lc]-[s]-[type-iii]-[ans-iii]  | 0.000612259 |
| 34 | [lc]-[ns]-[type-i]-[ans-iii]   | 0.000572562 |
| 35 | [og]-[s]-[type-iii]-[ans-ii]   | 0.000534415 |
+----+--------------------------------+-------------+

For OPT, among these templates, [og]-[ns]-[type-ii]-[ans-i] achieved the highest score.
