Template Selection Results
+----+--------------------------------+------------+
|    | Template                       |     Scores |
|----+--------------------------------+------------|
|  0 | [lc]-[s]-[type-iii]-[ans-iii]  | 0.00440907 |
|  1 | [lc]-[s]-[type-ii]-[ans-iii]   | 0.00434959 |
|  2 | [lc]-[ns]-[type-iii]-[ans-iii] | 0.0043323  |
|  3 | [lc]-[ns]-[type-ii]-[ans-iii]  | 0.00395477 |
|  4 | [lc]-[s]-[type-ii]-[ans-i]     | 0.00391585 |
|  5 | [lc]-[ns]-[type-iii]-[ans-i]   | 0.00380254 |
|  6 | [lc]-[ns]-[type-ii]-[ans-ii]   | 0.00362051 |
|  7 | [lc]-[ns]-[type-i]-[ans-i]     | 0.00350738 |
|  8 | [og]-[ns]-[type-ii]-[ans-iii]  | 0.00339532 |
|  9 | [lc]-[s]-[type-i]-[ans-ii]     | 0.00337684 |
| 10 | [lc]-[s]-[type-ii]-[ans-ii]    | 0.00337684 |
| 11 | [lc]-[ns]-[type-iii]-[ans-ii]  | 0.00333118 |
| 12 | [lc]-[ns]-[type-ii]-[ans-i]    | 0.00330096 |
| 13 | [lc]-[s]-[type-i]-[ans-iii]    | 0.00301194 |
| 14 | [lc]-[s]-[type-i]-[ans-i]      | 0.00293005 |
| 15 | [og]-[s]-[type-ii]-[ans-i]     | 0.00280476 |
| 16 | [og]-[s]-[type-ii]-[ans-iii]   | 0.00275832 |
| 17 | [og]-[ns]-[type-ii]-[ans-ii]   | 0.00270641 |
| 18 | [og]-[ns]-[type-ii]-[ans-i]    | 0.00266266 |
| 19 | [lc]-[ns]-[type-i]-[ans-iii]   | 0.00263798 |
| 20 | [og]-[ns]-[type-i]-[ans-i]     | 0.00229895 |
| 21 | [lc]-[s]-[type-iii]-[ans-i]    | 0.0022943  |
| 22 | [og]-[s]-[type-i]-[ans-i]      | 0.0022583  |
| 23 | [lc]-[ns]-[type-i]-[ans-ii]    | 0.0022279  |
| 24 | [og]-[s]-[type-i]-[ans-iii]    | 0.00214887 |
| 25 | [og]-[s]-[type-i]-[ans-ii]     | 0.00203907 |
| 26 | [og]-[s]-[type-ii]-[ans-ii]    | 0.00203907 |
| 27 | [lc]-[s]-[type-iii]-[ans-ii]   | 0.00203359 |
| 28 | [og]-[ns]-[type-iii]-[ans-iii] | 0.00197792 |
| 29 | [og]-[ns]-[type-iii]-[ans-i]   | 0.00187868 |
| 30 | [og]-[ns]-[type-iii]-[ans-ii]  | 0.0017904  |
| 31 | [og]-[ns]-[type-i]-[ans-ii]    | 0.00174284 |
| 32 | [og]-[s]-[type-iii]-[ans-iii]  | 0.00158197 |
| 33 | [og]-[ns]-[type-i]-[ans-iii]   | 0.00157428 |
| 34 | [og]-[s]-[type-iii]-[ans-ii]   | 0.00131381 |
| 35 | [og]-[s]-[type-iii]-[ans-i]    | 0.00125653 |
+----+--------------------------------+------------+

For OPT, among these templates, [lc]-[s]-[type-iii]-[ans-iii] achieved the highest score.
