Template Selection Results
+----+--------------------------------+-------------+
|    | Template                       |      Scores |
|----+--------------------------------+-------------|
|  0 | [og]-[s]-[type-iii]-[ans-i]    | 0.00131059  |
|  1 | [lc]-[ns]-[type-ii]-[ans-i]    | 0.00112188  |
|  2 | [lc]-[ns]-[type-i]-[ans-i]     | 0.00100827  |
|  3 | [lc]-[ns]-[type-ii]-[ans-iii]  | 0.000990868 |
|  4 | [lc]-[s]-[type-iii]-[ans-i]    | 0.000920653 |
|  5 | [lc]-[ns]-[type-i]-[ans-ii]    | 0.000824451 |
|  6 | [lc]-[ns]-[type-iii]-[ans-i]   | 0.000816345 |
|  7 | [lc]-[ns]-[type-i]-[ans-iii]   | 0.000804663 |
|  8 | [og]-[s]-[type-i]-[ans-i]      | 0.00078845  |
|  9 | [og]-[ns]-[type-iii]-[ans-i]   | 0.000764847 |
| 10 | [og]-[ns]-[type-ii]-[ans-i]    | 0.000758529 |
| 11 | [lc]-[s]-[type-ii]-[ans-i]     | 0.000757337 |
| 12 | [og]-[s]-[type-ii]-[ans-i]     | 0.000750899 |
| 13 | [og]-[ns]-[type-i]-[ans-iii]   | 0.000716805 |
| 14 | [lc]-[s]-[type-i]-[ans-iii]    | 0.000714183 |
| 15 | [lc]-[ns]-[type-iii]-[ans-ii]  | 0.000713587 |
| 16 | [og]-[ns]-[type-ii]-[ans-iii]  | 0.00070703  |
| 17 | [og]-[ns]-[type-i]-[ans-i]     | 0.000705123 |
| 18 | [lc]-[ns]-[type-ii]-[ans-ii]   | 0.000697851 |
| 19 | [og]-[ns]-[type-i]-[ans-ii]    | 0.000678301 |
| 20 | [lc]-[ns]-[type-iii]-[ans-iii] | 0.000676751 |
| 21 | [og]-[ns]-[type-iii]-[ans-ii]  | 0.000634432 |
| 22 | [lc]-[s]-[type-iii]-[ans-ii]   | 0.000628233 |
| 23 | [og]-[ns]-[type-ii]-[ans-ii]   | 0.000581384 |
| 24 | [og]-[s]-[type-i]-[ans-iii]    | 0.000576735 |
| 25 | [og]-[s]-[type-i]-[ans-ii]     | 0.000560641 |
| 26 | [og]-[s]-[type-ii]-[ans-ii]    | 0.000560641 |
| 27 | [lc]-[s]-[type-i]-[ans-i]      | 0.000547528 |
| 28 | [og]-[ns]-[type-iii]-[ans-iii] | 0.00052774  |
| 29 | [lc]-[s]-[type-iii]-[ans-iii]  | 0.000486016 |
| 30 | [lc]-[s]-[type-ii]-[ans-ii]    | 0.00047195  |
| 31 | [lc]-[s]-[type-i]-[ans-ii]     | 0.00047195  |
| 32 | [lc]-[s]-[type-ii]-[ans-iii]   | 0.000463367 |
| 33 | [og]-[s]-[type-iii]-[ans-iii]  | 0.000405788 |
| 34 | [og]-[s]-[type-ii]-[ans-iii]   | 0.000403285 |
| 35 | [og]-[s]-[type-iii]-[ans-ii]   | 0.000398159 |
+----+--------------------------------+-------------+

For OPT, among these templates, [og]-[s]-[type-iii]-[ans-i] achieved the highest score.
