Template Selection Results
+----+--------------------------------+-------------+
|    | Template                       |      Scores |
|----+--------------------------------+-------------|
|  0 | [lc]-[ns]-[type-ii]-[ans-ii]   | 0.00335139  |
|  1 | [lc]-[ns]-[type-i]-[ans-ii]    | 0.00214177  |
|  2 | [lc]-[ns]-[type-ii]-[ans-i]    | 0.00212306  |
|  3 | [lc]-[ns]-[type-ii]-[ans-iii]  | 0.00175321  |
|  4 | [lc]-[s]-[type-ii]-[ans-ii]    | 0.00164008  |
|  5 | [lc]-[s]-[type-i]-[ans-ii]     | 0.00164008  |
|  6 | [lc]-[s]-[type-iii]-[ans-i]    | 0.00153971  |
|  7 | [lc]-[ns]-[type-i]-[ans-i]     | 0.00149053  |
|  8 | [lc]-[ns]-[type-iii]-[ans-ii]  | 0.00139529  |
|  9 | [lc]-[ns]-[type-iii]-[ans-i]   | 0.00135994  |
| 10 | [og]-[ns]-[type-i]-[ans-iii]   | 0.00135499  |
| 11 | [lc]-[s]-[type-iii]-[ans-ii]   | 0.00114799  |
| 12 | [og]-[ns]-[type-ii]-[ans-i]    | 0.00109661  |
| 13 | [lc]-[s]-[type-ii]-[ans-i]     | 0.00103599  |
| 14 | [lc]-[s]-[type-ii]-[ans-iii]   | 0.00102979  |
| 15 | [lc]-[ns]-[type-i]-[ans-iii]   | 0.00102538  |
| 16 | [og]-[ns]-[type-ii]-[ans-ii]   | 0.000971854 |
| 17 | [lc]-[s]-[type-i]-[ans-i]      | 0.000942111 |
| 18 | [og]-[ns]-[type-i]-[ans-ii]    | 0.000878096 |
| 19 | [og]-[ns]-[type-ii]-[ans-iii]  | 0.000874221 |
| 20 | [og]-[ns]-[type-i]-[ans-i]     | 0.000828266 |
| 21 | [lc]-[s]-[type-i]-[ans-iii]    | 0.000799835 |
| 22 | [og]-[ns]-[type-iii]-[ans-i]   | 0.000778019 |
| 23 | [lc]-[s]-[type-iii]-[ans-iii]  | 0.000772476 |
| 24 | [og]-[ns]-[type-iii]-[ans-ii]  | 0.000707746 |
| 25 | [og]-[s]-[type-i]-[ans-iii]    | 0.000682056 |
| 26 | [og]-[s]-[type-i]-[ans-ii]     | 0.000653923 |
| 27 | [og]-[s]-[type-ii]-[ans-ii]    | 0.000653923 |
| 28 | [lc]-[ns]-[type-iii]-[ans-iii] | 0.000643015 |
| 29 | [og]-[ns]-[type-iii]-[ans-iii] | 0.000622571 |
| 30 | [og]-[s]-[type-i]-[ans-i]      | 0.000597715 |
| 31 | [og]-[s]-[type-ii]-[ans-iii]   | 0.000578761 |
| 32 | [og]-[s]-[type-ii]-[ans-i]     | 0.000557363 |
| 33 | [og]-[s]-[type-iii]-[ans-i]    | 0.000487745 |
| 34 | [og]-[s]-[type-iii]-[ans-iii]  | 0.000459552 |
| 35 | [og]-[s]-[type-iii]-[ans-ii]   | 0.000452042 |
+----+--------------------------------+-------------+

For OPT, among these templates, [lc]-[ns]-[type-ii]-[ans-ii] achieved the highest score.
