Template Selection Results
+----+--------------------------------+------------+
|    | Template                       |     Scores |
|----+--------------------------------+------------|
|  0 | [og]-[s]-[type-ii]-[ans-iii]   | 0.00530696 |
|  1 | [og]-[s]-[type-i]-[ans-iii]    | 0.00463438 |
|  2 | [lc]-[s]-[type-ii]-[ans-iii]   | 0.00320119 |
|  3 | [lc]-[s]-[type-i]-[ans-iii]    | 0.00315392 |
|  4 | [og]-[ns]-[type-i]-[ans-iii]   | 0.00304556 |
|  5 | [og]-[s]-[type-i]-[ans-ii]     | 0.00300467 |
|  6 | [og]-[s]-[type-ii]-[ans-ii]    | 0.00300467 |
|  7 | [og]-[ns]-[type-iii]-[ans-iii] | 0.00296807 |
|  8 | [lc]-[ns]-[type-ii]-[ans-iii]  | 0.00292069 |
|  9 | [og]-[ns]-[type-ii]-[ans-iii]  | 0.00255001 |
| 10 | [og]-[s]-[type-iii]-[ans-iii]  | 0.00241864 |
| 11 | [og]-[s]-[type-i]-[ans-i]      | 0.00237536 |
| 12 | [lc]-[s]-[type-ii]-[ans-i]     | 0.00235426 |
| 13 | [og]-[ns]-[type-ii]-[ans-ii]   | 0.0022409  |
| 14 | [og]-[s]-[type-ii]-[ans-i]     | 0.00211    |
| 15 | [lc]-[ns]-[type-iii]-[ans-i]   | 0.00195497 |
| 16 | [lc]-[ns]-[type-ii]-[ans-ii]   | 0.00189507 |
| 17 | [lc]-[ns]-[type-ii]-[ans-i]    | 0.0018782  |
| 18 | [lc]-[s]-[type-i]-[ans-i]      | 0.00184464 |
| 19 | [og]-[ns]-[type-iii]-[ans-ii]  | 0.00183463 |
| 20 | [og]-[ns]-[type-ii]-[ans-i]    | 0.00179791 |
| 21 | [og]-[s]-[type-iii]-[ans-ii]   | 0.00171947 |
| 22 | [lc]-[s]-[type-iii]-[ans-iii]  | 0.00166905 |
| 23 | [lc]-[s]-[type-i]-[ans-ii]     | 0.00165617 |
| 24 | [lc]-[s]-[type-ii]-[ans-ii]    | 0.00165617 |
| 25 | [og]-[ns]-[type-i]-[ans-i]     | 0.00156379 |
| 26 | [og]-[ns]-[type-iii]-[ans-i]   | 0.00152963 |
| 27 | [lc]-[ns]-[type-i]-[ans-i]     | 0.00151193 |
| 28 | [lc]-[ns]-[type-iii]-[ans-iii] | 0.00150472 |
| 29 | [lc]-[ns]-[type-iii]-[ans-ii]  | 0.00144297 |
| 30 | [lc]-[ns]-[type-i]-[ans-iii]   | 0.0014025  |
| 31 | [og]-[ns]-[type-i]-[ans-ii]    | 0.00135618 |
| 32 | [lc]-[s]-[type-iii]-[ans-ii]   | 0.00133401 |
| 33 | [lc]-[s]-[type-iii]-[ans-i]    | 0.00132102 |
| 34 | [lc]-[ns]-[type-i]-[ans-ii]    | 0.00117725 |
| 35 | [og]-[s]-[type-iii]-[ans-i]    | 0.00105613 |
+----+--------------------------------+------------+

For OPT, among these templates, [og]-[s]-[type-ii]-[ans-iii] achieved the highest score.
