Template Selection Results
+----+--------------------------------+------------+
|    | Template                       |     Scores |
|----+--------------------------------+------------|
|  0 | [lc]-[ns]-[type-ii]-[ans-ii]   | 0.00479424 |
|  1 | [og]-[ns]-[type-ii]-[ans-ii]   | 0.00479424 |
|  2 | [lc]-[ns]-[type-i]-[ans-iii]   | 0.0040217  |
|  3 | [og]-[ns]-[type-i]-[ans-iii]   | 0.0040217  |
|  4 | [og]-[ns]-[type-ii]-[ans-iii]  | 0.00334513 |
|  5 | [lc]-[ns]-[type-ii]-[ans-iii]  | 0.00334513 |
|  6 | [og]-[ns]-[type-iii]-[ans-ii]  | 0.00330198 |
|  7 | [lc]-[ns]-[type-iii]-[ans-ii]  | 0.00330198 |
|  8 | [og]-[ns]-[type-i]-[ans-ii]    | 0.00327444 |
|  9 | [lc]-[ns]-[type-i]-[ans-ii]    | 0.00327444 |
| 10 | [og]-[s]-[type-ii]-[ans-iii]   | 0.00222617 |
| 11 | [lc]-[s]-[type-ii]-[ans-iii]   | 0.00222617 |
| 12 | [lc]-[s]-[type-i]-[ans-iii]    | 0.00183451 |
| 13 | [og]-[s]-[type-i]-[ans-iii]    | 0.00183451 |
| 14 | [lc]-[ns]-[type-ii]-[ans-i]    | 0.00167364 |
| 15 | [og]-[ns]-[type-ii]-[ans-i]    | 0.00167364 |
| 16 | [lc]-[s]-[type-iii]-[ans-i]    | 0.001656   |
| 17 | [og]-[s]-[type-iii]-[ans-i]    | 0.001656   |
| 18 | [og]-[ns]-[type-iii]-[ans-i]   | 0.00160813 |
| 19 | [lc]-[ns]-[type-iii]-[ans-i]   | 0.00160813 |
| 20 | [lc]-[ns]-[type-iii]-[ans-iii] | 0.00159943 |
| 21 | [og]-[ns]-[type-iii]-[ans-iii] | 0.00159943 |
| 22 | [og]-[s]-[type-iii]-[ans-ii]   | 0.00147927 |
| 23 | [lc]-[s]-[type-iii]-[ans-ii]   | 0.00147927 |
| 24 | [lc]-[s]-[type-i]-[ans-ii]     | 0.00134546 |
| 25 | [og]-[s]-[type-i]-[ans-ii]     | 0.00134546 |
| 26 | [lc]-[s]-[type-ii]-[ans-ii]    | 0.00134546 |
| 27 | [og]-[s]-[type-ii]-[ans-ii]    | 0.00134546 |
| 28 | [og]-[ns]-[type-i]-[ans-i]     | 0.00122553 |
| 29 | [lc]-[ns]-[type-i]-[ans-i]     | 0.00122553 |
| 30 | [lc]-[s]-[type-ii]-[ans-i]     | 0.00111151 |
| 31 | [og]-[s]-[type-ii]-[ans-i]     | 0.00111151 |
| 32 | [og]-[s]-[type-iii]-[ans-iii]  | 0.00110745 |
| 33 | [lc]-[s]-[type-iii]-[ans-iii]  | 0.00110745 |
| 34 | [og]-[s]-[type-i]-[ans-i]      | 0.00103045 |
| 35 | [lc]-[s]-[type-i]-[ans-i]      | 0.00103045 |
+----+--------------------------------+------------+

For GPTNEO, among these templates, [lc]-[ns]-[type-ii]-[ans-ii] achieved the highest score.
