Template Selection Results
+----+--------------------------------+-------------+
|    | Template                       |      Scores |
|----+--------------------------------+-------------|
|  0 | [lc]-[ns]-[type-i]-[ans-iii]   | 0.00217283  |
|  1 | [og]-[ns]-[type-i]-[ans-iii]   | 0.00217283  |
|  2 | [lc]-[s]-[type-iii]-[ans-iii]  | 0.00171685  |
|  3 | [og]-[s]-[type-iii]-[ans-iii]  | 0.00171685  |
|  4 | [lc]-[ns]-[type-ii]-[ans-ii]   | 0.00151312  |
|  5 | [og]-[ns]-[type-ii]-[ans-ii]   | 0.00151312  |
|  6 | [og]-[ns]-[type-iii]-[ans-ii]  | 0.00137305  |
|  7 | [lc]-[ns]-[type-iii]-[ans-ii]  | 0.00137305  |
|  8 | [og]-[ns]-[type-iii]-[ans-iii] | 0.00137246  |
|  9 | [lc]-[ns]-[type-iii]-[ans-iii] | 0.00137246  |
| 10 | [og]-[ns]-[type-i]-[ans-ii]    | 0.00137007  |
| 11 | [lc]-[ns]-[type-i]-[ans-ii]    | 0.00137007  |
| 12 | [og]-[ns]-[type-ii]-[ans-iii]  | 0.00134993  |
| 13 | [lc]-[ns]-[type-ii]-[ans-iii]  | 0.00134993  |
| 14 | [lc]-[s]-[type-ii]-[ans-ii]    | 0.00119281  |
| 15 | [og]-[s]-[type-ii]-[ans-ii]    | 0.00119281  |
| 16 | [og]-[s]-[type-i]-[ans-ii]     | 0.00119281  |
| 17 | [lc]-[s]-[type-i]-[ans-ii]     | 0.00119281  |
| 18 | [og]-[s]-[type-ii]-[ans-i]     | 0.00110883  |
| 19 | [lc]-[s]-[type-ii]-[ans-i]     | 0.00110883  |
| 20 | [lc]-[s]-[type-iii]-[ans-ii]   | 0.00110614  |
| 21 | [og]-[s]-[type-iii]-[ans-ii]   | 0.00110614  |
| 22 | [og]-[s]-[type-ii]-[ans-iii]   | 0.00102389  |
| 23 | [lc]-[s]-[type-ii]-[ans-iii]   | 0.00102389  |
| 24 | [og]-[s]-[type-i]-[ans-i]      | 0.000998795 |
| 25 | [lc]-[s]-[type-i]-[ans-i]      | 0.000998795 |
| 26 | [lc]-[s]-[type-i]-[ans-iii]    | 0.00090456  |
| 27 | [og]-[s]-[type-i]-[ans-iii]    | 0.00090456  |
| 28 | [lc]-[ns]-[type-ii]-[ans-i]    | 0.000832558 |
| 29 | [og]-[ns]-[type-ii]-[ans-i]    | 0.000832558 |
| 30 | [og]-[s]-[type-iii]-[ans-i]    | 0.000648081 |
| 31 | [lc]-[s]-[type-iii]-[ans-i]    | 0.000648081 |
| 32 | [og]-[ns]-[type-i]-[ans-i]     | 0.000647902 |
| 33 | [lc]-[ns]-[type-i]-[ans-i]     | 0.000647902 |
| 34 | [og]-[ns]-[type-iii]-[ans-i]   | 0.000586212 |
| 35 | [lc]-[ns]-[type-iii]-[ans-i]   | 0.000586212 |
+----+--------------------------------+-------------+

For GPT2, among these templates, [lc]-[ns]-[type-i]-[ans-iii] achieved the highest score.
