Template Selection Results
+----+--------------------------------+-------------+
|    | Template                       |      Scores |
|----+--------------------------------+-------------|
|  0 | [lc]-[ns]-[type-i]-[ans-iii]   | 0.00193691  |
|  1 | [og]-[ns]-[type-i]-[ans-iii]   | 0.00193691  |
|  2 | [lc]-[s]-[type-i]-[ans-iii]    | 0.00179684  |
|  3 | [og]-[s]-[type-i]-[ans-iii]    | 0.00179684  |
|  4 | [og]-[s]-[type-iii]-[ans-i]    | 0.00174356  |
|  5 | [lc]-[s]-[type-iii]-[ans-i]    | 0.00174356  |
|  6 | [og]-[s]-[type-ii]-[ans-iii]   | 0.0015564   |
|  7 | [lc]-[s]-[type-ii]-[ans-iii]   | 0.0015564   |
|  8 | [lc]-[ns]-[type-ii]-[ans-iii]  | 0.00144339  |
|  9 | [og]-[ns]-[type-ii]-[ans-iii]  | 0.00144339  |
| 10 | [lc]-[ns]-[type-ii]-[ans-ii]   | 0.00143838  |
| 11 | [og]-[ns]-[type-ii]-[ans-ii]   | 0.00143838  |
| 12 | [lc]-[s]-[type-ii]-[ans-i]     | 0.00143158  |
| 13 | [og]-[s]-[type-ii]-[ans-i]     | 0.00143158  |
| 14 | [lc]-[s]-[type-ii]-[ans-ii]    | 0.00137901  |
| 15 | [og]-[s]-[type-ii]-[ans-ii]    | 0.00137901  |
| 16 | [og]-[s]-[type-i]-[ans-ii]     | 0.00137901  |
| 17 | [lc]-[s]-[type-i]-[ans-ii]     | 0.00137901  |
| 18 | [og]-[ns]-[type-i]-[ans-ii]    | 0.00135064  |
| 19 | [lc]-[ns]-[type-i]-[ans-ii]    | 0.00135064  |
| 20 | [lc]-[ns]-[type-ii]-[ans-i]    | 0.00125635  |
| 21 | [og]-[ns]-[type-ii]-[ans-i]    | 0.00125635  |
| 22 | [og]-[s]-[type-i]-[ans-i]      | 0.00109613  |
| 23 | [lc]-[s]-[type-i]-[ans-i]      | 0.00109613  |
| 24 | [og]-[s]-[type-iii]-[ans-ii]   | 0.001073    |
| 25 | [lc]-[s]-[type-iii]-[ans-ii]   | 0.001073    |
| 26 | [og]-[s]-[type-iii]-[ans-iii]  | 0.00102854  |
| 27 | [lc]-[s]-[type-iii]-[ans-iii]  | 0.00102854  |
| 28 | [lc]-[ns]-[type-i]-[ans-i]     | 0.000997186 |
| 29 | [og]-[ns]-[type-i]-[ans-i]     | 0.000997186 |
| 30 | [og]-[ns]-[type-iii]-[ans-i]   | 0.000824928 |
| 31 | [lc]-[ns]-[type-iii]-[ans-i]   | 0.000824928 |
| 32 | [og]-[ns]-[type-iii]-[ans-ii]  | 0.000789881 |
| 33 | [lc]-[ns]-[type-iii]-[ans-ii]  | 0.000789881 |
| 34 | [lc]-[ns]-[type-iii]-[ans-iii] | 0.00073874  |
| 35 | [og]-[ns]-[type-iii]-[ans-iii] | 0.00073874  |
+----+--------------------------------+-------------+

For GPT2, among these templates, [lc]-[ns]-[type-i]-[ans-iii] achieved the highest score.
