Template Selection Results
+----+--------------------------------+-------------+
|    | Template                       |      Scores |
|----+--------------------------------+-------------|
|  0 | [og]-[s]-[type-ii]-[ans-iii]   | 0.00297618  |
|  1 | [lc]-[s]-[type-ii]-[ans-iii]   | 0.00297618  |
|  2 | [og]-[s]-[type-ii]-[ans-i]     | 0.00267321  |
|  3 | [lc]-[s]-[type-ii]-[ans-i]     | 0.00267321  |
|  4 | [og]-[ns]-[type-ii]-[ans-iii]  | 0.00204277  |
|  5 | [lc]-[ns]-[type-ii]-[ans-iii]  | 0.00204277  |
|  6 | [lc]-[s]-[type-iii]-[ans-iii]  | 0.00194001  |
|  7 | [og]-[s]-[type-iii]-[ans-iii]  | 0.00194001  |
|  8 | [og]-[ns]-[type-ii]-[ans-i]    | 0.00183177  |
|  9 | [lc]-[ns]-[type-ii]-[ans-i]    | 0.00183177  |
| 10 | [og]-[ns]-[type-i]-[ans-iii]   | 0.00182956  |
| 11 | [lc]-[ns]-[type-i]-[ans-iii]   | 0.00182956  |
| 12 | [lc]-[s]-[type-i]-[ans-ii]     | 0.00169063  |
| 13 | [og]-[s]-[type-ii]-[ans-ii]    | 0.00169063  |
| 14 | [lc]-[s]-[type-ii]-[ans-ii]    | 0.00169063  |
| 15 | [og]-[s]-[type-i]-[ans-ii]     | 0.00169063  |
| 16 | [og]-[s]-[type-i]-[ans-iii]    | 0.00152177  |
| 17 | [lc]-[s]-[type-i]-[ans-iii]    | 0.00152177  |
| 18 | [og]-[s]-[type-iii]-[ans-i]    | 0.00147551  |
| 19 | [lc]-[s]-[type-iii]-[ans-i]    | 0.00147551  |
| 20 | [og]-[ns]-[type-ii]-[ans-ii]   | 0.00142497  |
| 21 | [lc]-[ns]-[type-ii]-[ans-ii]   | 0.00142497  |
| 22 | [og]-[ns]-[type-iii]-[ans-i]   | 0.00135267  |
| 23 | [lc]-[ns]-[type-iii]-[ans-i]   | 0.00135267  |
| 24 | [og]-[s]-[type-i]-[ans-i]      | 0.00134164  |
| 25 | [lc]-[s]-[type-i]-[ans-i]      | 0.00134164  |
| 26 | [lc]-[ns]-[type-iii]-[ans-iii] | 0.00134087  |
| 27 | [og]-[ns]-[type-iii]-[ans-iii] | 0.00134087  |
| 28 | [lc]-[ns]-[type-i]-[ans-i]     | 0.00119907  |
| 29 | [og]-[ns]-[type-i]-[ans-i]     | 0.00119907  |
| 30 | [og]-[s]-[type-iii]-[ans-ii]   | 0.0011968   |
| 31 | [lc]-[s]-[type-iii]-[ans-ii]   | 0.0011968   |
| 32 | [lc]-[ns]-[type-iii]-[ans-ii]  | 0.00115997  |
| 33 | [og]-[ns]-[type-iii]-[ans-ii]  | 0.00115997  |
| 34 | [lc]-[ns]-[type-i]-[ans-ii]    | 0.000911713 |
| 35 | [og]-[ns]-[type-i]-[ans-ii]    | 0.000911713 |
+----+--------------------------------+-------------+

For OPT, among these templates, [og]-[s]-[type-ii]-[ans-iii] achieved the highest score.
