Template Selection Results
+----+--------------------------------+-------------+
|    | Template                       |      Scores |
|----+--------------------------------+-------------|
|  0 | [lc]-[s]-[type-i]-[ans-i]      | 0.00217927  |
|  1 | [og]-[s]-[type-i]-[ans-i]      | 0.00217927  |
|  2 | [lc]-[ns]-[type-ii]-[ans-ii]   | 0.00179243  |
|  3 | [og]-[ns]-[type-ii]-[ans-ii]   | 0.00179243  |
|  4 | [lc]-[s]-[type-ii]-[ans-iii]   | 0.00165415  |
|  5 | [og]-[s]-[type-ii]-[ans-iii]   | 0.00165415  |
|  6 | [lc]-[ns]-[type-ii]-[ans-iii]  | 0.00159192  |
|  7 | [og]-[ns]-[type-ii]-[ans-iii]  | 0.00159192  |
|  8 | [lc]-[s]-[type-iii]-[ans-iii]  | 0.00149286  |
|  9 | [og]-[s]-[type-iii]-[ans-iii]  | 0.00149286  |
| 10 | [og]-[ns]-[type-i]-[ans-iii]   | 0.00146675  |
| 11 | [lc]-[ns]-[type-i]-[ans-iii]   | 0.00146675  |
| 12 | [og]-[s]-[type-i]-[ans-iii]    | 0.00144827  |
| 13 | [lc]-[s]-[type-i]-[ans-iii]    | 0.00144827  |
| 14 | [og]-[s]-[type-ii]-[ans-ii]    | 0.00138772  |
| 15 | [lc]-[s]-[type-ii]-[ans-ii]    | 0.00138772  |
| 16 | [og]-[s]-[type-i]-[ans-ii]     | 0.00138772  |
| 17 | [lc]-[s]-[type-i]-[ans-ii]     | 0.00138772  |
| 18 | [og]-[ns]-[type-iii]-[ans-ii]  | 0.0013032   |
| 19 | [lc]-[ns]-[type-iii]-[ans-ii]  | 0.0013032   |
| 20 | [lc]-[ns]-[type-i]-[ans-ii]    | 0.00123489  |
| 21 | [og]-[ns]-[type-i]-[ans-ii]    | 0.00123489  |
| 22 | [lc]-[s]-[type-ii]-[ans-i]     | 0.00122917  |
| 23 | [og]-[s]-[type-ii]-[ans-i]     | 0.00122917  |
| 24 | [lc]-[ns]-[type-i]-[ans-i]     | 0.00116014  |
| 25 | [og]-[ns]-[type-i]-[ans-i]     | 0.00116014  |
| 26 | [lc]-[s]-[type-iii]-[ans-ii]   | 0.0011121   |
| 27 | [og]-[s]-[type-iii]-[ans-ii]   | 0.0011121   |
| 28 | [lc]-[ns]-[type-ii]-[ans-i]    | 0.00102246  |
| 29 | [og]-[ns]-[type-ii]-[ans-i]    | 0.00102246  |
| 30 | [og]-[ns]-[type-iii]-[ans-iii] | 0.000978351 |
| 31 | [lc]-[ns]-[type-iii]-[ans-iii] | 0.000978351 |
| 32 | [og]-[s]-[type-iii]-[ans-i]    | 0.000959039 |
| 33 | [lc]-[s]-[type-iii]-[ans-i]    | 0.000959039 |
| 34 | [og]-[ns]-[type-iii]-[ans-i]   | 0.000873923 |
| 35 | [lc]-[ns]-[type-iii]-[ans-i]   | 0.000873923 |
+----+--------------------------------+-------------+

For OPT, among these templates, [lc]-[s]-[type-i]-[ans-i] achieved the highest score.
