Template Selection Results
+----+--------------------------------+------------+
|    | Template                       |     Scores |
|----+--------------------------------+------------|
|  0 | [og]-[s]-[type-ii]-[ans-i]     | 0.00494897 |
|  1 | [lc]-[s]-[type-ii]-[ans-i]     | 0.00494897 |
|  2 | [lc]-[s]-[type-i]-[ans-iii]    | 0.00386345 |
|  3 | [og]-[s]-[type-i]-[ans-iii]    | 0.00386345 |
|  4 | [lc]-[s]-[type-iii]-[ans-i]    | 0.00353062 |
|  5 | [og]-[s]-[type-iii]-[ans-i]    | 0.00353062 |
|  6 | [og]-[ns]-[type-i]-[ans-i]     | 0.00350952 |
|  7 | [lc]-[ns]-[type-i]-[ans-i]     | 0.00350952 |
|  8 | [lc]-[s]-[type-i]-[ans-i]      | 0.00349545 |
|  9 | [og]-[s]-[type-i]-[ans-i]      | 0.00349545 |
| 10 | [og]-[ns]-[type-i]-[ans-iii]   | 0.00320864 |
| 11 | [lc]-[ns]-[type-i]-[ans-iii]   | 0.00320864 |
| 12 | [lc]-[s]-[type-ii]-[ans-iii]   | 0.00309896 |
| 13 | [og]-[s]-[type-ii]-[ans-iii]   | 0.00309896 |
| 14 | [lc]-[ns]-[type-ii]-[ans-iii]  | 0.00294745 |
| 15 | [og]-[ns]-[type-ii]-[ans-iii]  | 0.00294745 |
| 16 | [og]-[s]-[type-iii]-[ans-iii]  | 0.00284696 |
| 17 | [lc]-[s]-[type-iii]-[ans-iii]  | 0.00284696 |
| 18 | [og]-[ns]-[type-i]-[ans-ii]    | 0.00257111 |
| 19 | [lc]-[ns]-[type-i]-[ans-ii]    | 0.00257111 |
| 20 | [lc]-[ns]-[type-ii]-[ans-i]    | 0.00231266 |
| 21 | [og]-[ns]-[type-ii]-[ans-i]    | 0.00231266 |
| 22 | [lc]-[ns]-[type-iii]-[ans-iii] | 0.00224352 |
| 23 | [og]-[ns]-[type-iii]-[ans-iii] | 0.00224352 |
| 24 | [og]-[ns]-[type-iii]-[ans-i]   | 0.001948   |
| 25 | [lc]-[ns]-[type-iii]-[ans-i]   | 0.001948   |
| 26 | [og]-[s]-[type-iii]-[ans-ii]   | 0.00163734 |
| 27 | [lc]-[s]-[type-iii]-[ans-ii]   | 0.00163734 |
| 28 | [lc]-[s]-[type-ii]-[ans-ii]    | 0.00160104 |
| 29 | [og]-[s]-[type-ii]-[ans-ii]    | 0.00160104 |
| 30 | [lc]-[s]-[type-i]-[ans-ii]     | 0.00160104 |
| 31 | [og]-[s]-[type-i]-[ans-ii]     | 0.00160104 |
| 32 | [og]-[ns]-[type-iii]-[ans-ii]  | 0.00151092 |
| 33 | [lc]-[ns]-[type-iii]-[ans-ii]  | 0.00151092 |
| 34 | [og]-[ns]-[type-ii]-[ans-ii]   | 0.00141639 |
| 35 | [lc]-[ns]-[type-ii]-[ans-ii]   | 0.00141639 |
+----+--------------------------------+------------+

For OPT, among these templates, [og]-[s]-[type-ii]-[ans-i] achieved the highest score.
