,index,Template,Scores
0,12,[lc]-[ns]-[type-ii]-[ans-ii],0.0047942399978637695
1,0,[lc]-[ns]-[type-i]-[ans-iii],0.004021704196929932
2,27,[og]-[ns]-[type-i]-[ans-i],0.0033809542655944824
3,32,[lc]-[ns]-[type-ii]-[ans-iii],0.0033451318740844727
4,22,[lc]-[ns]-[type-iii]-[ans-ii],0.00330197811126709
5,28,[lc]-[ns]-[type-i]-[ans-ii],0.0032744407653808594
6,35,[og]-[ns]-[type-ii]-[ans-i],0.002934396266937256
7,3,[og]-[s]-[type-i]-[ans-i],0.002615988254547119
8,17,[og]-[ns]-[type-iii]-[ans-i],0.0025228261947631836
9,14,[lc]-[s]-[type-ii]-[ans-iii],0.0022261738777160645
10,29,[og]-[ns]-[type-i]-[ans-ii],0.002223491668701172
11,1,[og]-[ns]-[type-i]-[ans-iii],0.002066195011138916
12,13,[og]-[ns]-[type-ii]-[ans-ii],0.001902461051940918
13,7,[og]-[s]-[type-i]-[ans-iii],0.0018352866172790527
14,6,[lc]-[s]-[type-i]-[ans-iii],0.0018345117568969727
15,19,[og]-[s]-[type-iii]-[ans-i],0.0017366409301757812
16,34,[lc]-[ns]-[type-ii]-[ans-i],0.0016736388206481934
17,18,[lc]-[s]-[type-iii]-[ans-i],0.0016559958457946777
18,16,[lc]-[ns]-[type-iii]-[ans-i],0.001608133316040039
19,11,[og]-[s]-[type-ii]-[ans-i],0.0016027092933654785
20,20,[lc]-[ns]-[type-iii]-[ans-iii],0.001599431037902832
21,33,[og]-[ns]-[type-ii]-[ans-iii],0.0015849471092224121
22,4,[lc]-[s]-[type-iii]-[ans-ii],0.0014792680740356445
23,25,[og]-[s]-[type-i]-[ans-ii],0.0014358758926391602
24,31,[og]-[s]-[type-ii]-[ans-ii],0.0014358758926391602
25,24,[lc]-[s]-[type-i]-[ans-ii],0.0013454556465148926
26,30,[lc]-[s]-[type-ii]-[ans-ii],0.0013454556465148926
27,26,[lc]-[ns]-[type-i]-[ans-i],0.0012255311012268066
28,10,[lc]-[s]-[type-ii]-[ans-i],0.0011115074157714844
29,8,[lc]-[s]-[type-iii]-[ans-iii],0.0011074542999267578
30,15,[og]-[s]-[type-ii]-[ans-iii],0.0010647177696228027
31,2,[lc]-[s]-[type-i]-[ans-i],0.0010304450988769531
32,23,[og]-[ns]-[type-iii]-[ans-ii],0.0010114312171936035
33,21,[og]-[ns]-[type-iii]-[ans-iii],0.0009532570838928223
34,5,[og]-[s]-[type-iii]-[ans-ii],0.0008977055549621582
35,9,[og]-[s]-[type-iii]-[ans-iii],0.0008066296577453613
