,index,Template,Scores
0,33,[og]-[ns]-[type-ii]-[ans-iii],0.002373218536376953
1,32,[lc]-[ns]-[type-ii]-[ans-iii],0.002373218536376953
2,12,[lc]-[ns]-[type-ii]-[ans-ii],0.0019392967224121094
3,13,[og]-[ns]-[type-ii]-[ans-ii],0.0019392967224121094
4,2,[lc]-[s]-[type-i]-[ans-i],0.0018846392631530762
5,3,[og]-[s]-[type-i]-[ans-i],0.0018846392631530762
6,6,[lc]-[s]-[type-i]-[ans-iii],0.0017844438552856445
7,7,[og]-[s]-[type-i]-[ans-iii],0.0017844438552856445
8,35,[og]-[ns]-[type-ii]-[ans-i],0.0017817020416259766
9,34,[lc]-[ns]-[type-ii]-[ans-i],0.0017817020416259766
10,28,[lc]-[ns]-[type-i]-[ans-ii],0.001628577709197998
11,29,[og]-[ns]-[type-i]-[ans-ii],0.001628577709197998
12,31,[og]-[s]-[type-ii]-[ans-ii],0.0014407634735107422
13,24,[lc]-[s]-[type-i]-[ans-ii],0.0014407634735107422
14,25,[og]-[s]-[type-i]-[ans-ii],0.0014407634735107422
15,30,[lc]-[s]-[type-ii]-[ans-ii],0.0014407634735107422
16,15,[og]-[s]-[type-ii]-[ans-iii],0.0014395713806152344
17,14,[lc]-[s]-[type-ii]-[ans-iii],0.0014395713806152344
18,9,[og]-[s]-[type-iii]-[ans-iii],0.001361072063446045
19,8,[lc]-[s]-[type-iii]-[ans-iii],0.001361072063446045
20,11,[og]-[s]-[type-ii]-[ans-i],0.0013246536254882812
21,10,[lc]-[s]-[type-ii]-[ans-i],0.0013246536254882812
22,22,[lc]-[ns]-[type-iii]-[ans-ii],0.0010238289833068848
23,23,[og]-[ns]-[type-iii]-[ans-ii],0.0010238289833068848
24,20,[lc]-[ns]-[type-iii]-[ans-iii],0.0010060667991638184
25,21,[og]-[ns]-[type-iii]-[ans-iii],0.0010060667991638184
26,16,[lc]-[ns]-[type-iii]-[ans-i],0.0009804964065551758
27,17,[og]-[ns]-[type-iii]-[ans-i],0.0009804964065551758
28,0,[lc]-[ns]-[type-i]-[ans-iii],0.0009064078330993652
29,1,[og]-[ns]-[type-i]-[ans-iii],0.0009064078330993652
30,5,[og]-[s]-[type-iii]-[ans-ii],0.0008215904235839844
31,4,[lc]-[s]-[type-iii]-[ans-ii],0.0008215904235839844
32,19,[og]-[s]-[type-iii]-[ans-i],0.0006206631660461426
33,18,[lc]-[s]-[type-iii]-[ans-i],0.0006206631660461426
34,27,[og]-[ns]-[type-i]-[ans-i],0.0005607008934020996
35,26,[lc]-[ns]-[type-i]-[ans-i],0.0005607008934020996
