,index,Template,Scores
0,14,[lc]-[s]-[type-ii]-[ans-i],0.0016236305236816406
1,10,[lc]-[s]-[type-i]-[ans-i],0.001301884651184082
2,9,[lc]-[ns]-[type-ii]-[ans-i],0.0012859106063842773
3,31,[og]-[s]-[type-i]-[ans-i],0.0012640953063964844
4,33,[lc]-[ns]-[type-i]-[ans-i],0.0012371540069580078
5,0,[lc]-[s]-[type-i]-[ans-iii],0.001227259635925293
6,25,[lc]-[s]-[type-ii]-[ans-ii],0.001223444938659668
7,5,[lc]-[s]-[type-i]-[ans-ii],0.001223444938659668
8,24,[og]-[s]-[type-i]-[ans-iii],0.0011993646621704102
9,30,[og]-[ns]-[type-ii]-[ans-i],0.0011991262435913086
10,32,[og]-[ns]-[type-i]-[ans-i],0.0011926889419555664
11,3,[og]-[s]-[type-ii]-[ans-iii],0.0011425018310546875
12,4,[og]-[s]-[type-ii]-[ans-i],0.0011388063430786133
13,19,[og]-[s]-[type-ii]-[ans-ii],0.0011286735534667969
14,6,[og]-[s]-[type-i]-[ans-ii],0.0011286735534667969
15,2,[lc]-[ns]-[type-ii]-[ans-ii],0.0011212825775146484
16,34,[lc]-[ns]-[type-i]-[ans-ii],0.0011076927185058594
17,7,[lc]-[s]-[type-iii]-[ans-i],0.0010776519775390625
18,13,[lc]-[ns]-[type-ii]-[ans-iii],0.0010749101638793945
19,15,[lc]-[ns]-[type-i]-[ans-iii],0.0010631084442138672
20,20,[og]-[ns]-[type-i]-[ans-ii],0.0010619163513183594
21,28,[og]-[ns]-[type-ii]-[ans-ii],0.0010197162628173828
22,26,[lc]-[s]-[type-ii]-[ans-iii],0.0009982585906982422
23,17,[og]-[s]-[type-iii]-[ans-i],0.0009876489639282227
24,27,[lc]-[ns]-[type-iii]-[ans-i],0.0009473562240600586
25,8,[og]-[ns]-[type-ii]-[ans-iii],0.000939488410949707
26,1,[lc]-[s]-[type-iii]-[ans-ii],0.0009237527847290039
27,12,[og]-[ns]-[type-i]-[ans-iii],0.0008568763732910156
28,16,[lc]-[ns]-[type-iii]-[ans-ii],0.0008352994918823242
29,29,[lc]-[ns]-[type-iii]-[ans-iii],0.0007886886596679688
30,23,[og]-[ns]-[type-iii]-[ans-iii],0.0007280111312866211
31,11,[og]-[s]-[type-iii]-[ans-ii],0.0007213354110717773
32,22,[og]-[ns]-[type-iii]-[ans-i],0.0006952285766601562
33,35,[lc]-[s]-[type-iii]-[ans-iii],0.000680088996887207
34,18,[og]-[ns]-[type-iii]-[ans-ii],0.0006395578384399414
35,21,[og]-[s]-[type-iii]-[ans-iii],0.000544428825378418
