,index,Template,Scores
0,14,[og]-[s]-[type-ii]-[ans-i],0.00480574369430542
1,33,[lc]-[s]-[type-ii]-[ans-iii],0.004334449768066406
2,22,[lc]-[ns]-[type-i]-[ans-iii],0.00424957275390625
3,4,[og]-[ns]-[type-i]-[ans-i],0.0042231082916259766
4,32,[lc]-[ns]-[type-i]-[ans-i],0.004164695739746094
5,24,[og]-[ns]-[type-ii]-[ans-i],0.004031360149383545
6,2,[lc]-[ns]-[type-i]-[ans-ii],0.0040111541748046875
7,18,[og]-[ns]-[type-ii]-[ans-ii],0.00396043062210083
8,1,[og]-[ns]-[type-i]-[ans-ii],0.003881990909576416
9,7,[lc]-[ns]-[type-ii]-[ans-iii],0.003835916519165039
10,31,[lc]-[s]-[type-i]-[ans-iii],0.0038094520568847656
11,15,[og]-[ns]-[type-iii]-[ans-iii],0.0036658048629760742
12,12,[og]-[ns]-[type-ii]-[ans-iii],0.003596484661102295
13,34,[og]-[s]-[type-ii]-[ans-ii],0.0035657882690429688
14,30,[og]-[s]-[type-i]-[ans-ii],0.0035657882690429688
15,9,[og]-[s]-[type-i]-[ans-i],0.003515481948852539
16,35,[og]-[ns]-[type-i]-[ans-iii],0.0033773183822631836
17,16,[lc]-[ns]-[type-ii]-[ans-i],0.0033658742904663086
18,23,[og]-[s]-[type-iii]-[ans-ii],0.0033400654792785645
19,20,[og]-[s]-[type-iii]-[ans-iii],0.0032389163970947266
20,13,[og]-[s]-[type-i]-[ans-iii],0.003038167953491211
21,19,[og]-[ns]-[type-iii]-[ans-ii],0.003005385398864746
22,11,[lc]-[ns]-[type-iii]-[ans-i],0.0028014183044433594
23,28,[og]-[s]-[type-iii]-[ans-i],0.0026285648345947266
24,5,[og]-[s]-[type-ii]-[ans-iii],0.0026100873947143555
25,3,[lc]-[s]-[type-i]-[ans-i],0.0025593042373657227
26,21,[lc]-[s]-[type-ii]-[ans-i],0.0025475025177001953
27,10,[lc]-[s]-[type-ii]-[ans-ii],0.0023943185806274414
28,25,[lc]-[s]-[type-i]-[ans-ii],0.0023943185806274414
29,17,[og]-[ns]-[type-iii]-[ans-i],0.002344965934753418
30,8,[lc]-[ns]-[type-ii]-[ans-ii],0.0022933483123779297
31,29,[lc]-[s]-[type-iii]-[ans-iii],0.002276897430419922
32,27,[lc]-[s]-[type-iii]-[ans-i],0.0020030736923217773
33,6,[lc]-[ns]-[type-iii]-[ans-iii],0.0019282102584838867
34,0,[lc]-[s]-[type-iii]-[ans-ii],0.001814126968383789
35,26,[lc]-[ns]-[type-iii]-[ans-ii],0.0014117956161499023
