,index,Template,Scores
0,0,[lc]-[ns]-[type-i]-[ans-iii],0.00217282772064209
1,1,[og]-[ns]-[type-i]-[ans-iii],0.00217282772064209
2,8,[lc]-[s]-[type-iii]-[ans-iii],0.0017168521881103516
3,9,[og]-[s]-[type-iii]-[ans-iii],0.0017168521881103516
4,12,[lc]-[ns]-[type-ii]-[ans-ii],0.0015131235122680664
5,13,[og]-[ns]-[type-ii]-[ans-ii],0.0015131235122680664
6,23,[og]-[ns]-[type-iii]-[ans-ii],0.0013730525970458984
7,22,[lc]-[ns]-[type-iii]-[ans-ii],0.0013730525970458984
8,21,[og]-[ns]-[type-iii]-[ans-iii],0.0013724565505981445
9,20,[lc]-[ns]-[type-iii]-[ans-iii],0.0013724565505981445
10,29,[og]-[ns]-[type-i]-[ans-ii],0.001370072364807129
11,28,[lc]-[ns]-[type-i]-[ans-ii],0.001370072364807129
12,33,[og]-[ns]-[type-ii]-[ans-iii],0.0013499259948730469
13,32,[lc]-[ns]-[type-ii]-[ans-iii],0.0013499259948730469
14,30,[lc]-[s]-[type-ii]-[ans-ii],0.0011928081512451172
15,31,[og]-[s]-[type-ii]-[ans-ii],0.0011928081512451172
16,25,[og]-[s]-[type-i]-[ans-ii],0.0011928081512451172
17,24,[lc]-[s]-[type-i]-[ans-ii],0.0011928081512451172
18,11,[og]-[s]-[type-ii]-[ans-i],0.0011088252067565918
19,10,[lc]-[s]-[type-ii]-[ans-i],0.0011088252067565918
20,4,[lc]-[s]-[type-iii]-[ans-ii],0.0011061429977416992
21,5,[og]-[s]-[type-iii]-[ans-ii],0.0011061429977416992
22,15,[og]-[s]-[type-ii]-[ans-iii],0.0010238885879516602
23,14,[lc]-[s]-[type-ii]-[ans-iii],0.0010238885879516602
24,3,[og]-[s]-[type-i]-[ans-i],0.0009987950325012207
25,2,[lc]-[s]-[type-i]-[ans-i],0.0009987950325012207
26,6,[lc]-[s]-[type-i]-[ans-iii],0.0009045600891113281
27,7,[og]-[s]-[type-i]-[ans-iii],0.0009045600891113281
28,34,[lc]-[ns]-[type-ii]-[ans-i],0.0008325576782226562
29,35,[og]-[ns]-[type-ii]-[ans-i],0.0008325576782226562
30,19,[og]-[s]-[type-iii]-[ans-i],0.0006480813026428223
31,18,[lc]-[s]-[type-iii]-[ans-i],0.0006480813026428223
32,27,[og]-[ns]-[type-i]-[ans-i],0.0006479024887084961
33,26,[lc]-[ns]-[type-i]-[ans-i],0.0006479024887084961
34,17,[og]-[ns]-[type-iii]-[ans-i],0.0005862116813659668
35,16,[lc]-[ns]-[type-iii]-[ans-i],0.0005862116813659668
