,index,Template,Scores
0,11,[og]-[s]-[type-ii]-[ans-i],0.00031304359436035156
1,3,[og]-[s]-[type-i]-[ans-i],0.00024890899658203125
2,10,[lc]-[s]-[type-ii]-[ans-i],0.0002315044403076172
3,26,[lc]-[ns]-[type-i]-[ans-i],0.00021326541900634766
4,2,[lc]-[s]-[type-i]-[ans-i],0.00020968914031982422
5,19,[og]-[s]-[type-iii]-[ans-i],0.0002067089080810547
6,35,[og]-[ns]-[type-ii]-[ans-i],0.00019729137420654297
7,27,[og]-[ns]-[type-i]-[ans-i],0.00019443035125732422
8,34,[lc]-[ns]-[type-ii]-[ans-i],0.0001926422119140625
9,18,[lc]-[s]-[type-iii]-[ans-i],0.00017023086547851562
10,16,[lc]-[ns]-[type-iii]-[ans-i],0.0001519918441772461
11,17,[og]-[ns]-[type-iii]-[ans-i],0.00014603137969970703
12,24,[lc]-[s]-[type-i]-[ans-ii],0.00014448165893554688
13,30,[lc]-[s]-[type-ii]-[ans-ii],0.00014448165893554688
14,14,[lc]-[s]-[type-ii]-[ans-iii],0.00013005733489990234
15,32,[lc]-[ns]-[type-ii]-[ans-iii],0.00012481212615966797
16,0,[lc]-[ns]-[type-i]-[ans-iii],0.00012445449829101562
17,31,[og]-[s]-[type-ii]-[ans-ii],0.00012159347534179688
18,25,[og]-[s]-[type-i]-[ans-ii],0.00012159347534179688
19,33,[og]-[ns]-[type-ii]-[ans-iii],0.00011754035949707031
20,6,[lc]-[s]-[type-i]-[ans-iii],0.00010907649993896484
21,1,[og]-[ns]-[type-i]-[ans-iii],0.00010097026824951172
22,12,[lc]-[ns]-[type-ii]-[ans-ii],0.00010097026824951172
23,13,[og]-[ns]-[type-ii]-[ans-ii],0.00010013580322265625
24,29,[og]-[ns]-[type-i]-[ans-ii],9.560585021972656e-05
25,7,[og]-[s]-[type-i]-[ans-iii],9.298324584960938e-05
26,15,[og]-[s]-[type-ii]-[ans-iii],9.274482727050781e-05
27,28,[lc]-[ns]-[type-i]-[ans-ii],9.179115295410156e-05
28,4,[lc]-[s]-[type-iii]-[ans-ii],9.012222290039062e-05
29,20,[lc]-[ns]-[type-iii]-[ans-iii],8.785724639892578e-05
30,8,[lc]-[s]-[type-iii]-[ans-iii],8.618831634521484e-05
31,5,[og]-[s]-[type-iii]-[ans-ii],7.605552673339844e-05
32,22,[lc]-[ns]-[type-iii]-[ans-ii],7.557868957519531e-05
33,21,[og]-[ns]-[type-iii]-[ans-iii],6.723403930664062e-05
34,23,[og]-[ns]-[type-iii]-[ans-ii],6.4849853515625e-05
35,9,[og]-[s]-[type-iii]-[ans-iii],6.449222564697266e-05
