,index,Template,Scores
0,0,[lc]-[ns]-[type-i]-[ans-iii],0.0019369125366210938
1,1,[og]-[ns]-[type-i]-[ans-iii],0.0019369125366210938
2,6,[lc]-[s]-[type-i]-[ans-iii],0.0017968416213989258
3,7,[og]-[s]-[type-i]-[ans-iii],0.0017968416213989258
4,19,[og]-[s]-[type-iii]-[ans-i],0.0017435550689697266
5,18,[lc]-[s]-[type-iii]-[ans-i],0.0017435550689697266
6,15,[og]-[s]-[type-ii]-[ans-iii],0.001556396484375
7,14,[lc]-[s]-[type-ii]-[ans-iii],0.001556396484375
8,32,[lc]-[ns]-[type-ii]-[ans-iii],0.0014433860778808594
9,33,[og]-[ns]-[type-ii]-[ans-iii],0.0014433860778808594
10,12,[lc]-[ns]-[type-ii]-[ans-ii],0.0014383792877197266
11,13,[og]-[ns]-[type-ii]-[ans-ii],0.0014383792877197266
12,10,[lc]-[s]-[type-ii]-[ans-i],0.001431584358215332
13,11,[og]-[s]-[type-ii]-[ans-i],0.001431584358215332
14,30,[lc]-[s]-[type-ii]-[ans-ii],0.0013790130615234375
15,31,[og]-[s]-[type-ii]-[ans-ii],0.0013790130615234375
16,25,[og]-[s]-[type-i]-[ans-ii],0.0013790130615234375
17,24,[lc]-[s]-[type-i]-[ans-ii],0.0013790130615234375
18,29,[og]-[ns]-[type-i]-[ans-ii],0.0013506412506103516
19,28,[lc]-[ns]-[type-i]-[ans-ii],0.0013506412506103516
20,34,[lc]-[ns]-[type-ii]-[ans-i],0.0012563467025756836
21,35,[og]-[ns]-[type-ii]-[ans-i],0.0012563467025756836
22,3,[og]-[s]-[type-i]-[ans-i],0.0010961294174194336
23,2,[lc]-[s]-[type-i]-[ans-i],0.0010961294174194336
24,5,[og]-[s]-[type-iii]-[ans-ii],0.001073002815246582
25,4,[lc]-[s]-[type-iii]-[ans-ii],0.001073002815246582
26,9,[og]-[s]-[type-iii]-[ans-iii],0.0010285377502441406
27,8,[lc]-[s]-[type-iii]-[ans-iii],0.0010285377502441406
28,26,[lc]-[ns]-[type-i]-[ans-i],0.0009971857070922852
29,27,[og]-[ns]-[type-i]-[ans-i],0.0009971857070922852
30,17,[og]-[ns]-[type-iii]-[ans-i],0.0008249282836914062
31,16,[lc]-[ns]-[type-iii]-[ans-i],0.0008249282836914062
32,23,[og]-[ns]-[type-iii]-[ans-ii],0.0007898807525634766
33,22,[lc]-[ns]-[type-iii]-[ans-ii],0.0007898807525634766
34,20,[lc]-[ns]-[type-iii]-[ans-iii],0.0007387399673461914
35,21,[og]-[ns]-[type-iii]-[ans-iii],0.0007387399673461914
