,index,Template,Scores
0,14,[lc]-[s]-[type-ii]-[ans-iii],0.0029761791229248047
1,27,[og]-[ns]-[type-i]-[ans-i],0.0027086734771728516
2,10,[lc]-[s]-[type-ii]-[ans-i],0.002673208713531494
3,1,[og]-[ns]-[type-i]-[ans-iii],0.002519965171813965
4,15,[og]-[s]-[type-ii]-[ans-iii],0.0023816823959350586
5,25,[og]-[s]-[type-i]-[ans-ii],0.002115964889526367
6,31,[og]-[s]-[type-ii]-[ans-ii],0.002115964889526367
7,32,[lc]-[ns]-[type-ii]-[ans-iii],0.0020427703857421875
8,13,[og]-[ns]-[type-ii]-[ans-ii],0.002015233039855957
9,7,[og]-[s]-[type-i]-[ans-iii],0.002001643180847168
10,8,[lc]-[s]-[type-iii]-[ans-iii],0.001940011978149414
11,34,[lc]-[ns]-[type-ii]-[ans-i],0.0018317699432373047
12,0,[lc]-[ns]-[type-i]-[ans-iii],0.0018295645713806152
13,21,[og]-[ns]-[type-iii]-[ans-iii],0.0018137693405151367
14,9,[og]-[s]-[type-iii]-[ans-iii],0.0017391443252563477
15,30,[lc]-[s]-[type-ii]-[ans-ii],0.0016906261444091797
16,24,[lc]-[s]-[type-i]-[ans-ii],0.0016906261444091797
17,5,[og]-[s]-[type-iii]-[ans-ii],0.0016646385192871094
18,23,[og]-[ns]-[type-iii]-[ans-ii],0.0015282630920410156
19,33,[og]-[ns]-[type-ii]-[ans-iii],0.0015251636505126953
20,6,[lc]-[s]-[type-i]-[ans-iii],0.001521766185760498
21,11,[og]-[s]-[type-ii]-[ans-i],0.001514136791229248
22,29,[og]-[ns]-[type-i]-[ans-ii],0.0015033483505249023
23,18,[lc]-[s]-[type-iii]-[ans-i],0.001475512981414795
24,3,[og]-[s]-[type-i]-[ans-i],0.0014553666114807129
25,12,[lc]-[ns]-[type-ii]-[ans-ii],0.0014249682426452637
26,16,[lc]-[ns]-[type-iii]-[ans-i],0.0013526678085327148
27,2,[lc]-[s]-[type-i]-[ans-i],0.0013416409492492676
28,20,[lc]-[ns]-[type-iii]-[ans-iii],0.0013408660888671875
29,35,[og]-[ns]-[type-ii]-[ans-i],0.0013203620910644531
30,19,[og]-[s]-[type-iii]-[ans-i],0.0012108087539672852
31,26,[lc]-[ns]-[type-i]-[ans-i],0.0011990666389465332
32,4,[lc]-[s]-[type-iii]-[ans-ii],0.0011968016624450684
33,17,[og]-[ns]-[type-iii]-[ans-i],0.001178443431854248
34,22,[lc]-[ns]-[type-iii]-[ans-ii],0.001159965991973877
35,28,[lc]-[ns]-[type-i]-[ans-ii],0.000911712646484375
