,index,Template,Scores
0,28,[lc]-[ns]-[type-iii]-[ans-ii],0.0027008056640625
1,24,[lc]-[ns]-[type-ii]-[ans-ii],0.0026084184646606445
2,10,[lc]-[ns]-[type-i]-[ans-iii],0.002216339111328125
3,6,[lc]-[ns]-[type-ii]-[ans-iii],0.002129673957824707
4,18,[lc]-[s]-[type-i]-[ans-i],0.0021136999130249023
5,2,[lc]-[s]-[type-ii]-[ans-ii],0.0017802715301513672
6,16,[lc]-[s]-[type-i]-[ans-ii],0.0017802715301513672
7,0,[lc]-[s]-[type-iii]-[ans-ii],0.0017653703689575195
8,20,[lc]-[ns]-[type-i]-[ans-i],0.0017603635787963867
9,32,[lc]-[s]-[type-ii]-[ans-iii],0.001748800277709961
10,12,[lc]-[ns]-[type-i]-[ans-ii],0.001739501953125
11,22,[lc]-[ns]-[type-ii]-[ans-i],0.0016824007034301758
12,34,[lc]-[s]-[type-i]-[ans-iii],0.001557469367980957
13,30,[lc]-[ns]-[type-iii]-[ans-iii],0.0015288591384887695
14,26,[lc]-[s]-[type-ii]-[ans-i],0.001486659049987793
15,14,[lc]-[ns]-[type-iii]-[ans-i],0.0014595985412597656
16,23,[og]-[ns]-[type-ii]-[ans-i],0.0011665821075439453
17,25,[og]-[ns]-[type-ii]-[ans-ii],0.0011113882064819336
18,13,[og]-[ns]-[type-i]-[ans-ii],0.0011028051376342773
19,21,[og]-[ns]-[type-i]-[ans-i],0.0010968446731567383
20,8,[lc]-[s]-[type-iii]-[ans-i],0.0010714530944824219
21,4,[lc]-[s]-[type-iii]-[ans-iii],0.0009942054748535156
22,7,[og]-[ns]-[type-ii]-[ans-iii],0.0009071826934814453
23,17,[og]-[s]-[type-i]-[ans-ii],0.0009044408798217773
24,3,[og]-[s]-[type-ii]-[ans-ii],0.0009044408798217773
25,35,[og]-[s]-[type-i]-[ans-iii],0.0008813142776489258
26,33,[og]-[s]-[type-ii]-[ans-iii],0.0008772611618041992
27,29,[og]-[ns]-[type-iii]-[ans-ii],0.0008600950241088867
28,11,[og]-[ns]-[type-i]-[ans-iii],0.0008072853088378906
29,27,[og]-[s]-[type-ii]-[ans-i],0.0008032321929931641
30,19,[og]-[s]-[type-i]-[ans-i],0.0007861852645874023
31,5,[og]-[s]-[type-iii]-[ans-iii],0.0006529092788696289
32,15,[og]-[ns]-[type-iii]-[ans-i],0.0006344318389892578
33,9,[og]-[s]-[type-iii]-[ans-i],0.000601649284362793
34,1,[og]-[s]-[type-iii]-[ans-ii],0.0005846023559570312
35,31,[og]-[ns]-[type-iii]-[ans-iii],0.0005384683609008789
