,index,Template,Scores
0,32,[lc]-[ns]-[type-ii]-[ans-iii],0.0028384923934936523
1,0,[lc]-[ns]-[type-i]-[ans-iii],0.002520263195037842
2,2,[lc]-[s]-[type-i]-[ans-i],0.002179384231567383
3,29,[og]-[ns]-[type-i]-[ans-ii],0.0020971298217773438
4,7,[og]-[s]-[type-i]-[ans-iii],0.0018633604049682617
5,23,[og]-[ns]-[type-iii]-[ans-ii],0.0017462968826293945
6,33,[og]-[ns]-[type-ii]-[ans-iii],0.0017305612564086914
7,14,[lc]-[s]-[type-ii]-[ans-iii],0.001698613166809082
8,6,[lc]-[s]-[type-i]-[ans-iii],0.0016232728958129883
9,3,[og]-[s]-[type-i]-[ans-i],0.0014562606811523438
10,13,[og]-[ns]-[type-ii]-[ans-ii],0.001407027244567871
11,15,[og]-[s]-[type-ii]-[ans-iii],0.0013996362686157227
12,20,[lc]-[ns]-[type-iii]-[ans-iii],0.0013519525527954102
13,30,[lc]-[s]-[type-ii]-[ans-ii],0.0013221502304077148
14,24,[lc]-[s]-[type-i]-[ans-ii],0.0013221502304077148
15,22,[lc]-[ns]-[type-iii]-[ans-ii],0.0013179779052734375
16,12,[lc]-[ns]-[type-ii]-[ans-ii],0.001306772232055664
17,1,[og]-[ns]-[type-i]-[ans-iii],0.0013061761856079102
18,35,[og]-[ns]-[type-ii]-[ans-i],0.0012967586517333984
19,21,[og]-[ns]-[type-iii]-[ans-iii],0.0012884140014648438
20,26,[lc]-[ns]-[type-i]-[ans-i],0.0012494325637817383
21,10,[lc]-[s]-[type-ii]-[ans-i],0.0012291669845581055
22,4,[lc]-[s]-[type-iii]-[ans-ii],0.0012004375457763672
23,34,[lc]-[ns]-[type-ii]-[ans-i],0.001180410385131836
24,9,[og]-[s]-[type-iii]-[ans-iii],0.0011075735092163086
25,5,[og]-[s]-[type-iii]-[ans-ii],0.0010936260223388672
26,8,[lc]-[s]-[type-iii]-[ans-iii],0.0010416507720947266
27,11,[og]-[s]-[type-ii]-[ans-i],0.0009990930557250977
28,25,[og]-[s]-[type-i]-[ans-ii],0.000997781753540039
29,31,[og]-[s]-[type-ii]-[ans-ii],0.000997781753540039
30,18,[lc]-[s]-[type-iii]-[ans-i],0.0009590387344360352
31,28,[lc]-[ns]-[type-i]-[ans-ii],0.0009298324584960938
32,27,[og]-[ns]-[type-i]-[ans-i],0.000885009765625
33,19,[og]-[s]-[type-iii]-[ans-i],0.0008337497711181641
34,16,[lc]-[ns]-[type-iii]-[ans-i],0.0008124113082885742
35,17,[og]-[ns]-[type-iii]-[ans-i],0.0006755590438842773
