,index,Template,Scores
0,35,[og]-[ns]-[type-ii]-[ans-i],0.001651167869567871
1,7,[og]-[s]-[type-i]-[ans-iii],0.0013840198516845703
2,11,[og]-[s]-[type-ii]-[ans-i],0.001351475715637207
3,10,[lc]-[s]-[type-ii]-[ans-i],0.0013303756713867188
4,3,[og]-[s]-[type-i]-[ans-i],0.0013189315795898438
5,20,[lc]-[ns]-[type-iii]-[ans-iii],0.0012737512588500977
6,17,[og]-[ns]-[type-iii]-[ans-i],0.0012273788452148438
7,21,[og]-[ns]-[type-iii]-[ans-iii],0.001194000244140625
8,34,[lc]-[ns]-[type-ii]-[ans-i],0.0011937618255615234
9,6,[lc]-[s]-[type-i]-[ans-iii],0.0011757612228393555
10,14,[lc]-[s]-[type-ii]-[ans-iii],0.0011287927627563477
11,15,[og]-[s]-[type-ii]-[ans-iii],0.0011173486709594727
12,27,[og]-[ns]-[type-i]-[ans-i],0.0011080503463745117
13,1,[og]-[ns]-[type-i]-[ans-iii],0.0011037588119506836
14,33,[og]-[ns]-[type-ii]-[ans-iii],0.0010440349578857422
15,32,[lc]-[ns]-[type-ii]-[ans-iii],0.001013040542602539
16,16,[lc]-[ns]-[type-iii]-[ans-i],0.0009826421737670898
17,18,[lc]-[s]-[type-iii]-[ans-i],0.0009789466857910156
18,2,[lc]-[s]-[type-i]-[ans-i],0.0009299516677856445
19,19,[og]-[s]-[type-iii]-[ans-i],0.0009032487869262695
20,13,[og]-[ns]-[type-ii]-[ans-ii],0.0009020566940307617
21,31,[og]-[s]-[type-ii]-[ans-ii],0.0009000301361083984
22,25,[og]-[s]-[type-i]-[ans-ii],0.0009000301361083984
23,29,[og]-[ns]-[type-i]-[ans-ii],0.0008113384246826172
24,23,[og]-[ns]-[type-iii]-[ans-ii],0.0007561445236206055
25,12,[lc]-[ns]-[type-ii]-[ans-ii],0.0007467269897460938
26,24,[lc]-[s]-[type-i]-[ans-ii],0.0007414817810058594
27,30,[lc]-[s]-[type-ii]-[ans-ii],0.0007414817810058594
28,8,[lc]-[s]-[type-iii]-[ans-iii],0.0007390975952148438
29,22,[lc]-[ns]-[type-iii]-[ans-ii],0.0007350444793701172
30,9,[og]-[s]-[type-iii]-[ans-iii],0.0007089376449584961
31,0,[lc]-[ns]-[type-i]-[ans-iii],0.0007047653198242188
32,26,[lc]-[ns]-[type-i]-[ans-i],0.0006620883941650391
33,5,[og]-[s]-[type-iii]-[ans-ii],0.0005795955657958984
34,28,[lc]-[ns]-[type-i]-[ans-ii],0.0005191564559936523
35,4,[lc]-[s]-[type-iii]-[ans-ii],0.0005104541778564453
