,index,Template,Scores
0,19,[og]-[s]-[type-iii]-[ans-i],0.001310586929321289
1,26,[lc]-[ns]-[type-i]-[ans-i],0.0010770559310913086
2,18,[lc]-[s]-[type-iii]-[ans-i],0.0009206533432006836
3,34,[lc]-[ns]-[type-ii]-[ans-i],0.0009145736694335938
4,0,[lc]-[ns]-[type-i]-[ans-iii],0.0008585453033447266
5,27,[og]-[ns]-[type-i]-[ans-i],0.0008172988891601562
6,35,[og]-[ns]-[type-ii]-[ans-i],0.0007932186126708984
7,3,[og]-[s]-[type-i]-[ans-i],0.0007884502410888672
8,10,[lc]-[s]-[type-ii]-[ans-i],0.0007573366165161133
9,11,[og]-[s]-[type-ii]-[ans-i],0.0007508993148803711
10,16,[lc]-[ns]-[type-iii]-[ans-i],0.0007195472717285156
11,29,[og]-[ns]-[type-i]-[ans-ii],0.0007047653198242188
12,17,[og]-[ns]-[type-iii]-[ans-i],0.0006667375564575195
13,1,[og]-[ns]-[type-i]-[ans-iii],0.0006598234176635742
14,6,[lc]-[s]-[type-i]-[ans-iii],0.0006368160247802734
15,13,[og]-[ns]-[type-ii]-[ans-ii],0.000626683235168457
16,28,[lc]-[ns]-[type-i]-[ans-ii],0.0006252527236938477
17,22,[lc]-[ns]-[type-iii]-[ans-ii],0.0006068944931030273
18,32,[lc]-[ns]-[type-ii]-[ans-iii],0.0005952119827270508
19,20,[lc]-[ns]-[type-iii]-[ans-iii],0.0005880594253540039
20,12,[lc]-[ns]-[type-ii]-[ans-ii],0.0005817413330078125
21,14,[lc]-[s]-[type-ii]-[ans-iii],0.0005680322647094727
22,2,[lc]-[s]-[type-i]-[ans-i],0.0005475282669067383
23,25,[og]-[s]-[type-i]-[ans-ii],0.000518798828125
24,31,[og]-[s]-[type-ii]-[ans-ii],0.000518798828125
25,21,[og]-[ns]-[type-iii]-[ans-iii],0.0005044937133789062
26,7,[og]-[s]-[type-i]-[ans-iii],0.000489354133605957
27,15,[og]-[s]-[type-ii]-[ans-iii],0.00048148632049560547
28,4,[lc]-[s]-[type-iii]-[ans-ii],0.00042939186096191406
29,23,[og]-[ns]-[type-iii]-[ans-ii],0.0004286766052246094
30,8,[lc]-[s]-[type-iii]-[ans-iii],0.00042724609375
31,9,[og]-[s]-[type-iii]-[ans-iii],0.0004101991653442383
32,33,[og]-[ns]-[type-ii]-[ans-iii],0.00038421154022216797
33,24,[lc]-[s]-[type-i]-[ans-ii],0.0003445148468017578
34,30,[lc]-[s]-[type-ii]-[ans-ii],0.0003445148468017578
35,5,[og]-[s]-[type-iii]-[ans-ii],0.000335693359375
