,index,Template,Scores
0,26,[lc]-[ns]-[type-i]-[ans-i],0.0007624626159667969
1,22,[lc]-[ns]-[type-iii]-[ans-ii],0.0007129907608032227
2,16,[lc]-[ns]-[type-iii]-[ans-i],0.0006802082061767578
3,17,[og]-[ns]-[type-iii]-[ans-i],0.0006663799285888672
4,27,[og]-[ns]-[type-i]-[ans-i],0.0005933046340942383
5,11,[og]-[s]-[type-ii]-[ans-i],0.0005173683166503906
6,23,[og]-[ns]-[type-iii]-[ans-ii],0.0005161762237548828
7,20,[lc]-[ns]-[type-iii]-[ans-iii],0.0005120038986206055
8,35,[og]-[ns]-[type-ii]-[ans-i],0.0004916191101074219
9,29,[og]-[ns]-[type-i]-[ans-ii],0.00047791004180908203
10,34,[lc]-[ns]-[type-ii]-[ans-i],0.00047779083251953125
11,28,[lc]-[ns]-[type-i]-[ans-ii],0.0004678964614868164
12,1,[og]-[ns]-[type-i]-[ans-iii],0.00043141841888427734
13,12,[lc]-[ns]-[type-ii]-[ans-ii],0.00041806697845458984
14,13,[og]-[ns]-[type-ii]-[ans-ii],0.0004162788391113281
15,15,[og]-[s]-[type-ii]-[ans-iii],0.0003998279571533203
16,3,[og]-[s]-[type-i]-[ans-i],0.0003966093063354492
17,21,[og]-[ns]-[type-iii]-[ans-iii],0.00039124488830566406
18,32,[lc]-[ns]-[type-ii]-[ans-iii],0.0003848075866699219
19,10,[lc]-[s]-[type-ii]-[ans-i],0.00037741661071777344
20,33,[og]-[ns]-[type-ii]-[ans-iii],0.00036704540252685547
21,0,[lc]-[ns]-[type-i]-[ans-iii],0.0003590583801269531
22,25,[og]-[s]-[type-i]-[ans-ii],0.00034296512603759766
23,31,[og]-[s]-[type-ii]-[ans-ii],0.00034296512603759766
24,24,[lc]-[s]-[type-i]-[ans-ii],0.0003294944763183594
25,30,[lc]-[s]-[type-ii]-[ans-ii],0.0003294944763183594
26,14,[lc]-[s]-[type-ii]-[ans-iii],0.0003190040588378906
27,9,[og]-[s]-[type-iii]-[ans-iii],0.00031888484954833984
28,4,[lc]-[s]-[type-iii]-[ans-ii],0.0003172159194946289
29,18,[lc]-[s]-[type-iii]-[ans-i],0.0003132820129394531
30,6,[lc]-[s]-[type-i]-[ans-iii],0.0003008842468261719
31,5,[og]-[s]-[type-iii]-[ans-ii],0.00029850006103515625
32,19,[og]-[s]-[type-iii]-[ans-i],0.0002802610397338867
33,2,[lc]-[s]-[type-i]-[ans-i],0.00027871131896972656
34,8,[lc]-[s]-[type-iii]-[ans-iii],0.00026798248291015625
35,7,[og]-[s]-[type-i]-[ans-iii],0.0002617835998535156
