,index,Template,Scores
0,6,[lc]-[ns]-[type-i]-[ans-i],0.0047032833099365234
1,3,[lc]-[ns]-[type-ii]-[ans-ii],0.004336118698120117
2,10,[lc]-[ns]-[type-i]-[ans-ii],0.004080533981323242
3,2,[lc]-[s]-[type-iii]-[ans-i],0.003982186317443848
4,20,[lc]-[ns]-[type-ii]-[ans-iii],0.003979802131652832
5,26,[lc]-[ns]-[type-ii]-[ans-i],0.0038933753967285156
6,13,[lc]-[ns]-[type-iii]-[ans-i],0.0038909912109375
7,0,[lc]-[s]-[type-i]-[ans-i],0.003832578659057617
8,17,[lc]-[s]-[type-i]-[ans-iii],0.0036153793334960938
9,25,[lc]-[s]-[type-i]-[ans-ii],0.0034934282302856445
10,7,[lc]-[s]-[type-ii]-[ans-ii],0.0034934282302856445
11,19,[lc]-[ns]-[type-iii]-[ans-iii],0.003161191940307617
12,16,[lc]-[s]-[type-ii]-[ans-i],0.0030815601348876953
13,27,[lc]-[s]-[type-iii]-[ans-iii],0.0030782222747802734
14,21,[lc]-[s]-[type-ii]-[ans-iii],0.003016352653503418
15,30,[lc]-[ns]-[type-i]-[ans-iii],0.002862215042114258
16,34,[lc]-[ns]-[type-iii]-[ans-ii],0.0026438236236572266
17,12,[og]-[s]-[type-ii]-[ans-iii],0.002624332904815674
18,33,[lc]-[s]-[type-iii]-[ans-ii],0.0023537874221801758
19,23,[og]-[ns]-[type-i]-[ans-i],0.0023252367973327637
20,15,[og]-[s]-[type-i]-[ans-ii],0.0020943880081176758
21,32,[og]-[s]-[type-ii]-[ans-ii],0.0020943880081176758
22,14,[og]-[ns]-[type-iii]-[ans-i],0.001930832862854004
23,5,[og]-[ns]-[type-ii]-[ans-iii],0.0018054842948913574
24,31,[og]-[ns]-[type-i]-[ans-iii],0.0017585158348083496
25,9,[og]-[s]-[type-i]-[ans-iii],0.0016316771507263184
26,8,[og]-[ns]-[type-ii]-[ans-ii],0.0015821456909179688
27,28,[og]-[ns]-[type-iii]-[ans-iii],0.0014071464538574219
28,35,[og]-[ns]-[type-ii]-[ans-i],0.0013794898986816406
29,18,[og]-[s]-[type-iii]-[ans-ii],0.001331329345703125
30,29,[og]-[ns]-[type-i]-[ans-ii],0.0013217329978942871
31,1,[og]-[s]-[type-ii]-[ans-i],0.0013211965560913086
32,22,[og]-[ns]-[type-iii]-[ans-ii],0.0012607574462890625
33,4,[og]-[s]-[type-iii]-[ans-i],0.0012214183807373047
34,24,[og]-[s]-[type-iii]-[ans-iii],0.0012067556381225586
35,11,[og]-[s]-[type-i]-[ans-i],0.0011314153671264648
